%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:int|qui
	v:aux|avoir&PRES&3s part|lire-PP&m pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|ame ?
%mor:	co|oui=yes
%mor:	co|hop adv:place|là
%mor:	v|pousser-INF det:art|la&f&sg n|porte&f=door
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s adv|encore prep|à
	v|marcher-INF prep|dans det:poss|ta&f&sg n|chambre&f ?
%mor:	co|oh part|taire-PP&m part|luire&PP&m n|montre&f-PL
%mor:	co|mh adv|mais v|dire-PRES&PASS&12s adv|donc pro:sub|elle
	v:aux|être&PRES&3s adj|sale det:poss|ta&f&sg n|pelle&f adv:place|là
%mor:	co|oui=yes n|mai&m-PL pro:sub|il v:aux|avoir&COND&3s
	part|falloir&PP&m pro:obj|la v|nettoyer-INF n|avant&m adv|parce
	adv|que adv:place|là
%mor:	v|regarder-PRES&SUB&13s pro:dem|ça
%mor:	adv|d'accord
%mor:	adv|ben v:mdl|falloir&FUT&3s pro:rel|que$pro:sub|il
	v:mdl|faire-PRES&SUB&13s adj|beau&m&sg=pretty adv|alors adv|parce
	adv|que
%mor:	part|taire-PP&m det:art|la&f&sg v:mdllex|faire-FUT&2s v|sécher-INF
	prep|à&le n|soleil&m ?
%mor:	prep|dans det:art|les&pl n|flaque&f-PL prep|de$n|eau&f
	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|la v|laver-INF ?
%mor:	part|taire-PP&m v|croire&PRES&12s ?
%mor:	conj|et part|taire-PP&m v|croire&PRES&12s pro:rel|que$pro:sub|elle
	v:aux|être&FUT&3s neg|pas adv|encore adv|plus adj|sale ?
%mor:	co|non=no ?
%mor:	co|mh
%mor:	co|ah co|non=no part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
	det:art|le&m&sg n|chat&m
%mor:	co|oui=yes co|oui=yes det:art|le&m&sg n|chat&m prep|de ?|lau
	co|oui=yes pro:sub|il
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|comme pro:dem|ça
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s part|faire-PP&m
	det:art|le&m&sg n|chat&m prep|de ?|lau adv|quand pro:sub|il
	v:aux|être&PRES&3s part|tomber-PP&m prep|de prep|de co|la
	n|fenêtre&f ?
%mor:	co|ohlàlà
%mor:	pro:sub|elle pro:obj|te$v:poss|avoir&PRES&3s part|raconter-PP&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|entendre-PP&m pro:dem|ce
	pro:int|qui pro:refl|se v|dire-IMPF&3s ?
%mor:	det:art|la&f&sg adj|gros&f ?
%mor:	co|pfff
%mor:	det:art|la&f&sg adj|petit&f pro:sub|je v|croire&IMP&2s pro:rel|que
