%mor:	prep|de&le n|ukulélé&m=ukulele prep|de&le n|ukulélé&m=ukulele
%mor:	prep|de&le n|ukulélé&m=ukulele
%mor:	prep|de&le n|ukulélé&m=ukulele
%mor:	det:art|le&m&sg n|loup&m
%mor:	det:art|un&m&sg n|indice&m ?|anaé ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ton&m&sg n|parrain&m
%mor:	co|miam
%mor:	n|bébé&m
%mor:	co|hop
%mor:	det:art|le&m&sg n|poussin&m
%mor:	pro:sub|il v:aux|être&PRES&3s part|rentrer-PP&m
%mor:	pro:sub|il v:exist|être&PRES&3s part|sortir&PP&m prep|de&le prep|de
	det:poss|son&m&sg n|livre pro:sub|il v:aux|être&PRES&3s
	part|rentrer-PP&m prep|dans det:art|le&m&sg n|sien&m
%mor:	co|oh
%mor:	co|ben pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg ?|anaé pro:int|qui
	v:aux|avoir&PRES&2s part|dessiner-PP&m prep|sur det:art|la&f&sg
	n|coccinelle&f pro:dem|ce$v:exist|être&PRES&3s neg|pas adv|bien
%mor:	prep|sauf adv|que adv:place|là pro:sub|ils v:exist|être&PRES&3p
	n|bébé&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	pro:sub|je v|croire&PRES&12s adv|que
	pro:dem|ce$v:exist|être&PRES&3s neg|pas pro|moi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|lou n|bébé&m n|pou&m
%mor:	conj|ou prep|sinon prep|sur det:art|le&m&sg n|pot&m=pot
%mor:	co|boh
%mor:	co|oh v|regarder-PRES&SUB&13s det:art|les&pl adj|grand&m-PL
	n|pied&m-PL pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
%mor:	n|si&m
%mor:	prep|de det:art|la&f&sg n|peinture&f conj|et prep|de
	det:art|la&f&sg n|pâte&f n|pâte&f prep|à v|modeler-INF conj|et
	prep|de&les n|gommette&f-PL=sticker
%mor:	n|savane&f
%mor:	n|girafe&f n|lion&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	?|garfiel
%mor:	det:art|le$n|âge&m
%mor:	n|animal&m&sg prep|comme det:art|la&f&sg n|girafe&f
%mor:	prep|dans det:art|le$n|âge&m prep|de n|glace&f n|deux&m co|hein
%mor:	neg|pas det:art|un&m&sg n|bébé&m n|mammouth&m co|euh
%mor:	det:art|un&m&sg n|lion&m
%mor:	det:art|le&m&sg n|ptérodactyle&m=pterodactyl
