utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
16404	MOT	mother	quoi?				Anais/239a.cha	SIS	g				Anais	mother	Other child	OCDS
17685	MOT	mother	je vois pas les mêmes couleurs tu veux lapin rouge?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17687	MOT	mother	bon				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17688	MOT	mother	attends				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17689	MOT	mother	il y avait des moules				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17691	MOT	mother	les trucs en plastique ils sont ou?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17693	MOT	mother	tu peux me les ramasser s'il te plait?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17718	MOT	mother	Chl				Anais/247a.cha	SIS	clara	SIS	Lara		Anais	mother	Other child	OCDS
17720	MOT	mother	et alors ah oui c'est ta carte			%sit  Ana pleure 123365134975/Anais/247a.cha	Anais/247a.cha	SIS	clara	SIS	Lara		Anais	mother	Other child	OCDS
17721	MOT	mother	et ça suffit Chl tu es pas obligée de la faire pester				Anais/247a.cha	SIS	clara	SIS	Lara		Anais	mother	Other child	OCDS
17739	MOT	mother	tu peux me donner les crayons papiers dans la boite Cloe?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17740	MOT	mother	les crayons la bas 				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17752	MOT	mother	merci				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17754	MOT	mother	merci Chloe				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17789	MOT	mother	prends les autres feuilles s'il te plait tiens				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17791	MOT	mother	je t'en ai mis des grands				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17793	MOT	mother	peut-être lacher ton ballon 				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17814	MOT	mother	attends leve toi Chloé				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17815	MOT	mother	d'accord c'est bon tu peux te rassoir				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
17850	MOT	mother	oui je l'ai réparé hier soir				Anais/247a.cha	SIS	clara	SIS	Lara		Anais	mother	Other child	OCDS
17851	MOT	mother	mais ils sont trop gros				Anais/247a.cha	SIS	clara	SIS	Lara		Anais	mother	Other child	OCDS
17871	MOT	mother	ah oui				Anais/247a.cha	SIS	clara	SIS	Lara		Anais	mother	Other child	OCDS
17902	MOT	mother	il est rose le ballon d' Ana?				Anais/247a.cha	SIS	clara	SIS	Lara		Anais	mother	Other child	OCDS
17921	MOT	mother	tu veux une autre?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18033	MOT	mother	oui tu fais des super trucs				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18105	MOT	mother	no il me faut de la mousse				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18106	MOT	mother	je sais pas ou elle s'est passée				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18110	MOT	mother	merci Chloe il y a pas du orange?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18111	MOT	mother	du jaune				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18113	MOT	mother	alors fais voir le jaune s'il te plait				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18127	MOT	mother	ah c'est un jaune comme ça				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18128	MOT	mother	c'est quoi ce truc				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18129	MOT	mother	attends on va prendre celle la				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18130	MOT	mother	j'ai besoin de oval				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18131	MOT	mother	tu me fais celui-la s'il te plait?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18140	MOT	mother	c'est bon?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18141	MOT	mother	merci Chloe				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18147	MOT	mother	ah bon				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18148	MOT	mother	oui mais pour Anais je 				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18149	MOT	mother	elle aime bien mettre du sucre elle a mis du sucre				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18151	MOT	mother	oui et alors				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18160	MOT	mother	oulala le sachet				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18161	MOT	mother	pardon				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18207	MOT	mother	oui on va faire du lapin apres				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18208	MOT	mother	presque fini son cochon				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18256	MOT	mother	j'ai pris l'autre				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18287	MOT	mother	non attends				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18324	MOT	mother	fais moi un rond la-dedans				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18325	MOT	mother	celui-la				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18327	MOT	mother	ou celui-la				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18328	MOT	mother	et celui-la la no no tu ne fais pas				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18329	MOT	mother	pas le plus gros				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18352	MOT	mother	ah bon				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18353	MOT	mother	ah oui c'est vrai que tu voulais rouge ton lapin				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18364	MOT	mother	non c'est xxx un cochon				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18370	MOT	mother	merci Chloe				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18415	MOT	mother	de quoi				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18417	MOT	mother	mais tu fais recto verso?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18418	MOT	mother	t'ecris derriere aussi				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18420	MOT	mother	d'accord				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
18533	MOT	mother	Chloe t'es pas xxx?				Anais/247a.cha	SIS	g				Anais	mother	Other child	OCDS
