%mor:	pro:sub|vous v:mdl|aller&PRES&2p v|jouer-INF det:art|un&m&sg
	adj|petit&m n|peu&m adv:place|dedans
%mor:	co|hein pro:sub|on n|joue&f det:art|un&m&sg adj|petit&m n|peu&m
	adv:place|dedans adv|d'abord ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|les&pl n|livre-PL
	det:art|les&pl n|poupée&f-PL det:art|la&f&sg n|cuisine&f
%mor:	conj|et adv|puis adv:place|après pro:sub|on v:mdl|aller&FUT&3s
	v|jouer-INF adv:place|dehors
%mor:	co|hé part|taire-PP&m v:mdl|savoir&PRES&12s det:art|les&pl
	n|araignée&f-PL prep|à det:art|la&f&sg n|campagne&f pro:sub|il
	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|partout co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|comme pro:dem|ça
%mor:	?|anaé pro:dem|ça v:mdl|aller&IMP&2s neg|pas co|non=no ?
%mor:	v|tenir-IMP&2p pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|les&pl n|crêpe-PL det:art|les&pl n|fille&f-PL adv:place|là
%mor:	pro:obj|vous v:mdl|vouloir&PRES&2p det:art|les&pl n|crêpe-PL ?
%mor:	co|ah co|ben adv|si part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|chercher-INF
	det:art|une&f&sg n|barrette&f
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|trouver-PP&m ?
%mor:	co|hein ?
%mor:	co|ah det:art|le&m&sg det:art|les&pl det:art|les&pl det:art|les&pl
	n|billet&m-PL ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s prep|pour v|mettre-INF
	det:art|les&pl n|sachet&m-PL prep|de n|thé&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi pro|toutes&f&pl
	det:dem|ces&m&pl n|affaire&f-PL n|parterre&m=flowerbed adv:place|là
	?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|tes&pl n|affaire&f-PL
	?|anouk ?
%mor:	conj|et ?|anaé part|taire-PP&m v:mdl|savoir&PRES&12s co|la
	adj|petit&f n|poupée&f adv|que ?|anouk pro:sub|elle
	v:aux|avoir&IMPF&3s part|oublier-PP&m det:art|le$pro|autre&sg
	n|jour&m pro:sub|il v:mdl|falloir&COND&3s part|luire&PP&m
	v|rendre-INF
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:int|où pro:sub|elle
	v:aux|être&PRES&3s ?
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|dans det:poss|ta&f&sg
	n|chambre&f pro:sub|je v|croire&PRES&12s
%mor:	pro:sub|on v:mdl|aller&FUT&3s pro:obj|la v|chercher-INF n|tout&m
	prep|à det:art|le$n|heure&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|sac&m prep|de
	pro:rel|quoi adv|que part|taire-PP&m v:aux|avoir&PRES&2s ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|chercher-INF pro:int|quoi ?
%mor:	v|chercher-PRES&SUB&13s det:art|le&m&sg n|ciseau&m pro:sub|il
	v:aux|être&PRES&3s adv|peut–être part|tomber-PP&m prep|sous
	det:art|la&f&sg n|table&f prep|sous det:art|le&m&sg n|sou&m-PL
%mor:	n|comment&m pro:refl|se$v|appeler-PRES&3p det:dem|ces&m&pl
	adj|petit&m-PL n|animal&m&pl ?
%mor:	co|oui=yes n|mai&m-PL pro:dem|ce$v:aux|être&PRES&3s prep|de&les
%mor:	?|petshop@seng
%mor:	v|chercher-IMP&2s det:art|les&pl n|ciseau&m-PL prep|avec ?|anouk
%mor:	v|regarder-PRES&SUB&13s prep|sous det:art|le&m&sg n|canapé&m=canape
	adv|aussi
%mor:	co|ah co|oui=yes det:art|un&m&sg n|bout&m prep|de n|papier&m
	prep|de n|gâteau&m
%mor:	n|pose&f det:art|le&m&sg prep|sur det:art|la&f&sg n|table&f
	pro:sub|on pro:obj|le v|mettre-FUT&3s prep|à det:art|la&f&sg
	n|poubelle&f
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s adv:place|là pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv|encore det:art|un&m&sg n|truc&m pro:int|qui
	v:aux|être&IMPF&3s prep|dans det:art|le&m&sg n|sac&m adv|de ?|anouk
