utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
18611	MOT	mother	ah bon				Anais/247b.cha	SIS	L						Anais	mother	Other child
18625	MOT	mother	attends				Anais/247b.cha	SIS	L						Anais	mother	Other child
18627	MOT	mother	d'accord				Anais/247b.cha	SIS	L						Anais	mother	Other child
18746	MOT	mother	tu écris Chloé				Anais/247b.cha	SIS	L						Anais	mother	Other child
18747	MOT	mother	c'est ca que tu veux				Anais/247b.cha	SIS	L						Anais	mother	Other child
18749	MOT	mother	il est ou le fer?				Anais/247b.cha	SIS	L						Anais	mother	Other child
18813	MOT	mother	mais je t'ai rien demandé toi				Anais/247b.cha	SIS	L						Anais	mother	Other child
18816	MOT	mother	et alors si elle veut qu'il dorme dans la baignoire son bébé				Anais/247b.cha	SIS	L						Anais	mother	Other child
18826	MOT	mother	qu'est ce que tu racontes				Anais/247b.cha	SIS	L						Anais	mother	Other child
18828	MOT	mother	non c'est toi je comrpends rien à ce que tu me dis ma chérie				Anais/247b.cha	SIS	L						Anais	mother	Other child
18830	MOT	mother	oui t'as raison				Anais/247b.cha	SIS	L						Anais	mother	Other child
18831	MOT	mother	fais ton dessin				Anais/247b.cha	SIS	L						Anais	mother	Other child
18833	MOT	mother	il est en fabrication				Anais/247b.cha	SIS	L						Anais	mother	Other child
18835	MOT	mother	no il est en train de se faire				Anais/247b.cha	SIS	L						Anais	mother	Other child
18972	MOT	mother	il te reste du travail à faire ma fille				Anais/247b.cha	SIS	L						Anais	mother	Other child
18974	MOT	mother	ahh				Anais/247b.cha	SIS	L						Anais	mother	Other child
18978	MOT	mother	parce que elle veut jouer				Anais/247b.cha	SIS	clara						Anais	mother	Other child
18984	MOT	mother	si ils y sont				Anais/247b.cha	SIS	clara						Anais	mother	Other child
19029	MOT	mother	merci ma Chloé				Anais/247b.cha	SIS	L						Anais	mother	Other child
19044	MOT	mother	oui ils sont très beaux tes dessins ma Chloé				Anais/247b.cha	SIS	L						Anais	mother	Other child
19046	MOT	mother	t'as tout écrit?				Anais/247b.cha	SIS	L						Anais	mother	Other child
19047	MOT	mother	t'as écrit quoi?				Anais/247b.cha	SIS	L						Anais	mother	Other child
19054	MOT	mother	tu y vas				Anais/247b.cha	SIS	L						Anais	mother	Other child
19055	MOT	mother	dans ta chambre				Anais/247b.cha	SIS	L						Anais	mother	Other child
19056	MOT	mother	sur le bureau tu descends tout				Anais/247b.cha	SIS	L						Anais	mother	Other child
19058	MOT	mother	bah tu les amènes au bord des escaliers ou tu les lances des escaliers				Anais/247b.cha	SIS	L						Anais	mother	Other child
19063	MOT	mother	non non je monte pas moi				Anais/247b.cha	SIS	L						Anais	mother	Other child
19065	MOT	mother	non je reste là				Anais/247b.cha	SIS	L						Anais	mother	Other child
19081	MOT	mother	yen a plus?				Anais/247b.cha	SIS	L						Anais	mother	Other child
19082	MOT	mother	(s)top!				Anais/247b.cha	SIS	L						Anais	mother	Other child
19140	MOT	mother	ah excuse moi				Anais/247b.cha	SIS	L						Anais	mother	Other child
19171	MOT	mother	www				Anais/247b.cha	SIS	L						Anais	mother	Other child
19185	MOT	mother	bah dis donc ah				Anais/247b.cha	SIS	L						Anais	mother	Other child
19186	MOT	mother	t'as qu'à l'enlever, passe de l'autre coté				Anais/247b.cha	SIS	L						Anais	mother	Other child
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19213	MOT	mother	Chloé, stop!				Anais/247b.cha	SIS							Anais	mother	Other child
19230	MOT	mother	non non non tu lui laisses mettre				Anais/247b.cha	SIS	L						Anais	mother	Other child
19231	MOT	mother	tiens mets mini toi				Anais/247b.cha	SIS	L						Anais	mother	Other child
19232	MOT	mother	le reste tu laisses mettre ta soeur				Anais/247b.cha	SIS	L						Anais	mother	Other child
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19264	MOT	mother	merci chloé				Anais/247b.cha	SIS	L						Anais	mother	Other child
