%mor:	co|ben conj|ou conj|sinon part|taire-PP&m pro:obj|te n|mets&m
	adv:place|là v|regarder-PRES&SUB&13s
%mor:	part|taire-PP&m part|taire-PP&m n|mets&m det:poss|ta&f&sg
	n|chaise&f prep|de pro:dem|ce n|côté&m adv:place|là
%mor:	adv:place|après adv|comme pro:dem|ça part|taire-PP&m n|mets&m
	det:poss|ta&f&sg n|feuille&f adv:place|ici
%mor:	conj|et adv|comme pro:dem|ça pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	n|rien&m adv:place|dessous
%mor:	v|regarder-IMP&2s v|lever-IMP&2s pro|toi&sg pro:sub|je
	v:mdl|aller&PRES&1s v|bouger-INF det:poss|ta&f&sg n|chaise&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg n|livre
	prep|pour v|mettre-INF prep|en adv:place|dessous ?
%mor:	adv|alors
%mor:	adv|alors adv|alors v|regarder-IMP&2s pro:sub|on
	v:mdl|aller&PRES&3s v|prendre-INF pro:dem|ça
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s
	v|prendre-INF
%mor:	adv|comme pro:dem|ça
%mor:	adv:place|voilà
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|mon&m&sg n|thé&m
%mor:	adv|après pro:sub|on det:art|le&m&sg v|laver-FUT&3s conj|et
	part|taire-PP&m v:mdl|pouvoir&FUT&2s re#v|mettre-INF prep|de&les
	?|flanby adv:place|dedans co|hein
%mor:	co|oh
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
	v|ramasser-PRES&SUB&2s
%mor:	co|attention part|taire-PP&m v:mdl|aller&PRES&2s v|tomber-INF
%mor:	conj|et prep|dans num|deux n|semaine&f-PL
	pro:dem|ce$v:exist|être&PRES&3s n|pâques adv|aussi
%mor:	part|taire-PP&m pro:obj|te chi|massis adv:place|à–côté=aside
	prep|de pro|moi&sg
%mor:	co|ah co|si co|si n|si&m
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s prep|que n|hier&m prep|avec
	det:poss|mes&pl n|étudiant&m-PL pro:sub|je$v:aux|avoir&PRES&1s
	part|regarder-PP&m co|euh prep|de&les n|film&m-PL prep|avec ?|anaé
