utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
17683	MOT	mother	elles sont où  Chl?			%com passage non transcrit de Chl et Mot /Anais/247a.cha	Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17694	MOT	mother	tu découpes quoi Ana?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17696	MOT	mother	et c'est quoi?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17697	MOT	mother	c'est quoi ça?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17704	MOT	mother	couper quoi?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17706	MOT	mother	je sais pas				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17707	MOT	mother	regarde ce que c'est avant de découper				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17714	MOT	mother	et doucement làbas				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17722	MOT	mother	viens ma Nounette				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17724	MOT	mother	viens vers moi mon xxx				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17725	MOT	mother	couper maman				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17726	MOT	mother	tiens coupe				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17727	MOT	mother	allez coupe				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17728	MOT	mother	attends y en a deux fais attention				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17729	MOT	mother	oups attends je vais //				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17730	MOT	mother	je vais commencer par le cochon				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17731	MOT	mother	il est moins dur				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17732	MOT	mother	tu permets?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17733	MOT	mother	on fera le lapin après quand je me serai entraînée				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17734	MOT	mother	où il est ton ballon Noune?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17736	MOT	mother	ah ben voilà ce que je cherchais				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17737	MOT	mother	alors				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17742	MOT	mother	il est un peu gros ton crayon mon ange				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17744	MOT	mother	il est trop gros				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17745	MOT	mother	un petit je veux				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17746	MOT	mother	le petit de //				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17747	MOT	mother	qu'est ce qu'on a pris hier là?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17749	MOT	mother	non celui que Chl elle a là merci				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17750	MOT	mother	tiens je te rends ton crayon				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17753	MOT	mother	merci Ana			%com passage non transcrit entre Mot et Chl /Anais/247a.cha	Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17755	MOT	mother	pourquoi il est jaune?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17756	MOT	mother	c'est pas un jaune que je t'ai gonflé?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17757	MOT	mother	si je t'ai gonflé un jaune?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17758	MOT	mother	non je t'ai gonflé un rose				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17759	MOT	mother	il est où le rose?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17760	MOT	mother	j'ai gonflé un jaune moi?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17766	MOT	mother	il est là				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17768	MOT	mother	c'est pas le même				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17770	MOT	mother	tu me prêtes tes ciseaux mon coeur?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17772	MOT	mother	si parce que je veux couper ça				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17773	MOT	mother	après je te rends tout de suite				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17775	MOT	mother	non tu vas pas pouvoir suivre le rond				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17776	MOT	mother	ça va être compliqué				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17778	MOT	mother	faut que je trouve d'autres ciseaux c'est ça?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17780	MOT	mother	bon				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17781	MOT	mother	d'accord				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17795	MOT	mother	tu découpes toi?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17797	MOT	mother	d'accord				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17801	MOT	mother	qu'estce que tu veux encore couper?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17804	MOT	mother	tu coupes ça?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17806	MOT	mother	oui vas y coupe				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17809	MOT	mother	attention?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17811	MOT	mother	tu fais attention à tes doigts?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17812	MOT	mother	euh j'ai encore perdu le ballon voilà				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17813	MOT	mother	alors			%com Mot parle à Chl passage non transcrit 44272454838/Anais/247a.cha	Anais/247a.cha	1	clara		?	Lara		DIFFER	Anais	mother	Keychild
17817	MOT	mother	faut pas couper hein				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17819	MOT	mother	c'est le nez du cochon				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17821	MOT	mother	alors il nous faut				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17824	MOT	mother	deux petits ronds jaune là				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17825	MOT	mother	attends les gommettes elles sont où?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17826	MOT	mother	elles sont où les gommettes?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17829	MOT	mother	oui c'est les gommettes				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17831	MOT	mother	on cherche des petits jaunes				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17833	MOT	mother	non ça c'est trop gros ça				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17834	MOT	mother	attends				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17836	MOT	mother	des ronds jaunes comme ça				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17837	MOT	mother	des plus petits				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17840	MOT	mother	c'est des oranges				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17843	MOT	mother	tu fais?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17845	MOT	mother	mh?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17848	MOT	mother	oui c'est le tien de crayon				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17856	MOT	mother	fais voir la gommette				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17859	MOT	mother	merci				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17861	MOT	mother	et ton crayon?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17862	MOT	mother	d'accord alors tu sais ce que tu fais?				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17863	MOT	mother	je vais tenir et tu tournes				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17864	MOT	mother	voilà fais le rond autour là là				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17866	MOT	mother	avec ton crayon				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17868	MOT	mother	avec ton stylo Ana				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17869	MOT	mother	passe au milieu là				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17873	MOT	mother	comme ça oui				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17874	MOT	mother	tu as mis le bouchon?			%com Chl parle non transcrit/Anais/247a.cha	Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
17875	MOT	mother	comme ça tu tiens //				Anais/247a.cha	1	clara		1	Lara			Anais	mother	Keychild
