annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	33066	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	default	Litlhare and mine is here	1	emilie							Litlhare le nna yaka ke ena	Sesotho	Litlhare le nna ya-ka ke ena	a_name cj 1s 9-1s cp 9	Litlhare le nna yaka ke ena	2688775	??? cj pn ps-sfx cop d	41.464	45.198	41.464	45.198	Sesotho	LIB	sme	u5	NA	NA	NA	Playmate	16797	0	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33069	2473	16801	929	Tlalane	17;0.0	NA	Cousin	Cousin	Adult	default	Come so I see you	1	emilie							tloo ketloubona	Sesotho	tloo ke-tlo-u-bon-a	come/m^i sm1s-t^f2-om2s-see-m^pt	tloo ketloubona	2688778	v pfx-pfx-pfx-v-sfx	56.114	60.842	56.114	60.842	Sesotho	TLN	sme	u8	NA	6205	NA	Cousin	16801	0	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33070	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	default	Litlhare I put it on the head	1	emilie							Litlhare keebehile hlohong	Sesotho	Litlhare ke-e-beh-il-e hloho-ng	a_name sm1s-om9-put-t^pf-m^in head(9,10)-lc	Litlhare keebehile hlohong	2688779	??? pfx-pfx-v-sfx-sfx n-sfx	90	92.741	90	92.741	Sesotho	LIB	sme	u9	NA	NA	NA	Playmate	16797	1	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33072	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	question	What are you writting?	1	emilie							ungolang	Sesotho	u-ngol-a-ng	sm2s-t^p_write-m^in-wh	ungolang	2688781	pfx-v-sfx-sfx	107.8	108.881	107.8	108.881	Sesotho	LIB	sme	u11	NA	NA	NA	Playmate	16797	1	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33074	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	question	I say what are you writing?	1	emilie							kere na ungolang	Sesotho	ke-r-e na u-ngol-a-ng	sm1s-t^p_say-m^in q sm2s-t^p_write-m^in-wh	kere na ungolang	2688783	pfx-v-sfx q pfx-v-sfx-sfx	110.784	113.125	110.784	113.125	Sesotho	LIB	sme	u13	NA	NA	NA	Playmate	16797	1	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33075	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	default	Write seven	1	emilie							ngola seven	Sesotho	ngol-a seven	write-m^i ???	ngola seven	2688784	v-sfx none	113.125	115.73	113.125	115.73	Sesotho	LIB	sme	u14	NA	NA	NA	Playmate	16797	1	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33077	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	default	Yes write seven	1	emilie							e ngola seven	Sesotho	e ngol-a seven	ij write-m^i ???	e ngola seven	2688786	ij v-sfx none	118.5	120.328	118.5	120.328	Sesotho	LIB	sme	u16	NA	NA	NA	Playmate	16797	1	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33080	2473	16796	927	Mafehloase	NA	NA	Playmate	Playmate	Child	question	Where is Khekhe?	1	emilie							Khekhe o kae	Sesotho	Khekhe o kae	a_name cp1 wh	Khekhe o kae	2688789	??? cop wh	146	148.735	146	148.735	Sesotho	MAF	sme	u19	NA	NA	NA	Playmate	16796	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33082	2473	16796	927	Mafehloase	NA	NA	Playmate	Playmate	Child	default	Let's go to Thabang	1	emilie							ha reye Thabang	Sesotho	ha re-y-e Thabang	ht sm1p-t^p_go-m^s a_place	ha reye Thabang	2688791	ht pfx-v-sfx ???	149.82	152.495	149.82	152.495	Sesotho	MAF	sme	u21	NA	NA	NA	Playmate	16796	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33083	2473	16796	927	Mafehloase	NA	NA	Playmate	Playmate	Child	default	Let's go to Thabang Litlhare	1	emilie							ha reye Thabang Litlhare	Sesotho	ha re-y-e Thabang Litlhare	ht sm1p-t^p_go-m^s a_place a_name	ha reye Thabang Litlhare	2688792	ht pfx-v-sfx ??? ???	152	153.652	152	153.652	Sesotho	MAF	sme	u22	NA	NA	NA	Playmate	16796	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33085	2473	16796	927	Mafehloase	NA	NA	Playmate	Playmate	Child	default	Let's go to Thabang	1	emilie							ha reye Thabang	Sesotho	ha re-y-e Thabang	ht sm1p-t^p_go-m^s a_place	ha reye Thabang	2688794	ht pfx-v-sfx ???	154	155.319	154	155.319	Sesotho	MAF	sme	u24	NA	NA	NA	Playmate	16796	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33088	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	question	Where is Thabang?	1	emilie							Thabang ke kae	Sesotho	Thabang ke kae	a_place cp wh	Thabang ke kae	2688797	??? cop wh	159.025	160.832	159.025	160.832	Sesotho	LIB	sme	u27	NA	NA	NA	Playmate	16797	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33090	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	question	Where are your things Litlhare?	1	emilie							dintho tsahao di kae Litlhare	Sesotho	di-ntho tsa-hao di kae Litlhare	10-thing(9,10) 10-2s cp10 wh a_name	dintho tsahao di kae Litlhare	2688799	pfx-n ps-sfx cop wh ???	162.1	163.817	162.1	163.817	Sesotho	LIB	sme	u29	NA	NA	NA	Playmate	16797	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33091	2473	16801	929	Tlalane	17;0.0	NA	Cousin	Cousin	Adult	default	Come I go hide myself	1	emilie							tloo ketloipata	Sesotho	tloo ke-tlo-i-pat-a	come/m^i sm1s-t^f2-rf-hide-m^pt	tloo ketloipata	2688800	v pfx-pfx-pfx-v-sfx	163.817	165.695	163.817	165.695	Sesotho	TLN	sme	u30	NA	6205	NA	Cousin	16801	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33093	2473	16801	929	Tlalane	17;0.0	NA	Cousin	Cousin	Adult	default	Come I go hide myself	1	emilie							tloo ketloipata	Sesotho	tloo ke-tlo-i-pat-a	come/m^i sm1s-t^f2-rf-hide-m^pt	tloo ketloipata	2688802	v pfx-pfx-pfx-v-sfx	166.5	167.684	166.5	167.684	Sesotho	TLN	sme	u32	NA	6205	NA	Cousin	16801	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33094	2473	16797	939	Libuseng	NA	NA	Playmate	Playmate	Child	default	Me mine is here Litlhare	1	emilie							nna yaka ke ena Litlhare	Sesotho	nna ya-ka ke ena Litlhare	1s 9-1s cp 9 a_name	nna yaka ke ena Litlhare	2688803	pn ps-sfx cop d ???	167.684	175.489	167.684	175.489	Sesotho	LIB	sme	u33	NA	NA	NA	Playmate	16797	2	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33096	2473	16801	929	Tlalane	17;0.0	NA	Cousin	Cousin	Adult	question	Who is it?	1	emilie							ke mang	Sesotho	ke mang	cp wh	ke mang	2688805	cop wh	276	277.565	276	277.565	Sesotho	TLN	sme	u35	NA	6205	NA	Cousin	16801	4	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33098	2473	16801	929	Tlalane	17;0.0	NA	Cousin	Cousin	Adult	question	Who is chasing you?	1	emilie							ke mang yaulelekisang e	Sesotho	ke mang ya-u-lelek-is-a-ng e	cp wh sr1-t^p.om2s-send_away-c-m^pt-rl ij	ke mang yaulelekisang e	2688807	cop wh pfx-pfx-v-sfx-sfx-sfx ij	279.476	293.433	279.476	293.433	Sesotho	TLN	sme	u37	NA	6205	NA	Cousin	16801	4	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
1	33099	2473	16801	929	Tlalane	17;0.0	NA	Cousin	Cousin	Adult	question	Where is mother Machaka?	1	emilie							mme Machaka o kae	Sesotho	mme Machaka o kae	mother(1a,2a) a_name cp1 wh	mme Machaka o kae	2688808	n ??? cop wh	356	359.054	356	359.054	Sesotho	TLN	sme	u38	NA	6205	NA	Cousin	16801	5	8b_94.28	020500ab.cha	Litlhare	Litlhare-020500ab.cha	child	Keychild	CDS
