utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
31890	MOT	mother	bon allez Ame			%sit  Tim prend la station service du garage 44524897/Theotime/239b.cha	Theotime/239b.cha	SIS	clara		SIS	Lara			Theotime	mother	Other child
31891	MOT	mother	j'arrive deux secondes			%sit  Mot se lève et quitte la pièce avec Ame 489754825/Theotime/239b.cha	Theotime/239b.cha	SIS	clara		SIS	Lara			Theotime	mother	Other child
31903	MOT	mother	xxx ok ? 				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
31904	MOT	mother	xxx				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
31906	MOT	mother	c'est pas de la colle				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
31908	MOT	mother	tu veux faire quoi ? non non tu joues pas avec la colle nanuou				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
31909	MOT	mother	tiens				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
31935	MOT	mother	eh beh oui ça c'était sûr				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
31975	MOT	mother	oui ben je pose pas à toi				Theotime/239b.cha	SIS	clara		SIS	Lara			Theotime	mother	Other child
32078	MOT	mother	ouais				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
32081	MOT	mother	chutchutchut				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
32172	MOT	mother	chut chut chut Ame				Theotime/239b.cha	SIS	clara		SIS	Lara			Theotime	mother	Other child
32198	MOT	mother	chut Ame tais-toi				Theotime/239b.cha	SIS	clara		SIS	Lara			Theotime	mother	Other child
32285	MOT	mother	xxx elles sont là-bas 				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
32288	MOT	mother	xxx				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
32665	MOT	mother	qui c'est ça ? xxx				Theotime/239b.cha	SIS	c						Theotime	mother	Other child
32726	MOT	mother	c'est mon www anniversaire www?				Theotime/239b.cha	SIS	clara			Lara			Theotime	mother	Other child
32727	MOT	mother	oh merci			%sit  Mot prend le gâteau dans ses mains /Theotime/239b.cha	Theotime/239b.cha	SIS	clara			Lara			Theotime	mother	Other child
