%mor:	adv:place|là part|taire-PP&m v:aux|avoir&PRES&2s num|deux n|an&m-PL
	conj|et part|taire-PP&m v:mdl|aller&PRES&2s v:aux|avoir&INF
	num|trois n|an&m-PL adv|bientôt
%mor:	adv|d'accord ?
%mor:	adv|alors pro:sub|on part|faire-PP&m det:art|un&m&sg n|gâteau&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	v|mettre-INF pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on
	v:mdl|aller&PRES&3s v|mettre-INF ?
%mor:	det:art|un&m&sg n|gâteau&m prep|à pro:rel|quoi ?
%mor:	adv|mais pro:sub|on neg|ne v:aux|avoir&PRES&3s neg|pas prep|de
	n|fraise&f-PL pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|un&m&sg n|gâteau&m prep|à&le n|yaourt&m
%mor:	co|allez adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on
	v|mettre-PRES&3s prep|dans det:art|un&m&sg n|gâteau&m ?
%mor:	co|non=no
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on
	v|mettre-PRES&3s prep|dans det:art|un&m&sg n|gâteau&m ?|anaé ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v|mettre-PRES&3s
	prep|dans det:art|un&m&sg n|gâteau&m
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	adv|alors pro:sub|on v:mdl|aller&PRES&3s v|prendre-INF
	det:art|un&m&sg n|yaourt&m
%mor:	adv|déjà pro:sub|on v:mdl|aller&PRES&3s v|prendre-INF
	det:art|une&f&sg adj|gros&f n|cuillère&f=spoon
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s det:art|une&f&sg adj|gros&f
	n|cuillère&f=spoon ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:int|où pro:sub|elles
	v:aux|être&PRES&3p ?
%mor:	co|oui=yes
%mor:	adv:place|là v|tenir-IMP&2s
%mor:	adv:place|voilà
%mor:	adv|alors pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s
	part|sortir&PP&m det:art|un&m&sg n|yaourt&m
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|prendre-INF
%mor:	det:art|le&m&sg n|fouet&m
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s det:art|le&m&sg n|fouet&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|nouveau&m pro:sub|je
	pro:obj|le$v:poss|avoir&PRES&1s part|acheter-PP&m
	det:art|le$pro|autre&sg n|jour&m
%mor:	pro:sub|il v:aux|être&PRES&3s n|chouette&f co|hein ?
%mor:	co|ben pro:dem|ce$v:aux|être&PRES&3s prep|pour v|mélanger-INF
	part|taire-PP&m v:mdl|savoir&PRES&12s
%mor:	co|ben n|oui&m
%mor:	adv|alors
%mor:	prep|de det:art|la&f&sg n|farine&f
%mor:	v|tenir-IMP&2s pro:sub|tu v:mdl|vouloir&PRES&12s adv|bien
	v|mettre-INF det:art|le&m&sg n|sucre&m prep|sur det:art|la&f&sg
	n|table&f ?|anaé ?
%mor:	prep|de&le n|sucre&m prep|de n|framboise&f ?
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s adj|juste
	pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les
	n|framboise&f-PL pro:int|qui v:aux|être&PRES&3p
	part|dessiner-PP&f&pl prep|sur det:art|le&m&sg n|paquet&m
	pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	prep|de det:art|la&f&sg n|levure&f
%mor:	co|ouais=yes
%mor:	prep|de det:art|la&f&sg n|levure&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|prendre-INF prep|de
	det:art|le$n|huile&f
