annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
962	56988	2516	17101	973	Mapotlako	NA	NA	Adult	Adult	Adult	default	Sing right here	1	clara							binelang hona mona	Sesotho	bin-el-ang hona mona	sing-ap-m^ip av loc	binelang hona mona	2712697	v-sfx-sfx av loc	NA	NA	NA	NA	Sesotho	MPT	sme	u1	NA	NA	NA	Speaker	17101	NA	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
962	56989	2516	17101	973	Mapotlako	NA	NA	Adult	Adult	Adult	default	Please sing for me	1	clara							lekelempinele hle	Sesotho	le-ke-le-m-pin-el-e hle	sm2p-t^ke-sm2p-om1s-sing-ap-m^pt ij	lekelempinele hle	2712698	pfx-pfx-pfx-pfx-v-sfx-sfx ij	21.531	23.925	21.531	23.925	Sesotho	MPT	sme	u2	NA	NA	NA	Speaker	17101	0	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
971	57006	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Matule you do not go out ?	971	clara							Matule wena ha utswe	Sesotho	Matule wena ha u-tsw-e	a_name 2s ng sm2s-t^p_go_out-m^x	Matule wena ha utswe	2712715	??? pn ng pfx-v-sfx	63.1	65.243	63.1	65.243	Sesotho	JUL	sme	u19	NA	NA	NA	Grandmother	17095	1	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Playmate	OCDS
971	57009	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	No leave go over there	971	clara							ee tsamayang leye kwana	Sesotho	ee tsamay-ang le-y-e kwana	ij leave-m^ip sm2p-t^p_go-m^s loc	ee tsamayang leye kwana	2712718	ij v-sfx pfx-v-sfx loc	68.7	70.222	68.7	70.222	Sesotho	JUL	sme	u22	NA	NA	NA	Grandmother	17095	1	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Playmate	OCDS
971	57010	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Matule	971	clara							Matule	Sesotho	Matule	a_name	Matule	2712719	???	70.222	72.377	70.222	72.377	Sesotho	JUL	sme	u23	NA	NA	NA	Grandmother	17095	1	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Playmate	OCDS
971	57020	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Matule what are you doing ?	971	clara							Matule wena uetsang	Sesotho	Matule wena u-ets-a-ng	a_name 2s sm2s-t^p_do-m^in-wh	Matule wena uetsang	2712729	??? pn pfx-v-sfx-sfx	85.507	89.462	85.507	89.462	Sesotho	JUL	sme	u33	NA	NA	NA	Grandmother	17095	1	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Playmate	OCDS
962	57032	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where will you get out ?	1	clara							letswa le kae	Sesotho	le-tsw-a le kae	sm2p-t^p_come_from-m^in cj wh	letswa le kae	2712741	pfx-v-sfx cj wh	124.248	126.057	124.248	126.057	Sesotho	JUL	sme	u45	NA	NA	NA	Grandmother	17095	2	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
962	57035	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	From where ?	1	clara							le kae	Sesotho	le kae	cj wh	le kae	2712744	cj wh	128.368	129.283	128.368	129.283	Sesotho	JUL	sme	u48	NA	NA	NA	Grandmother	17095	2	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
962	57038	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	What ? The tape recorder is there ?	1	clara							e kumbakumba e teng	Sesotho	e kumbakumba e teng	ij tape_recorder(9,10) cp9 loc	e kumbakumba e teng	2712747	ij n cop loc	140.07	144.07	140.07	144.07	Sesotho	JUL	sme	u51	NA	NA	NA	Grandmother	17095	2	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
962	57040	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where is it ?	1	clara							e kae	Sesotho	e kae	cp9 wh	e kae	2712749	cop wh	146.611	147.516	146.611	147.516	Sesotho	JUL	sme	u53	NA	NA	NA	Grandmother	17095	2	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
962	57042	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	In where ?	1	clara							ka kae	Sesotho	ka kae	pr wh	ka kae	2712751	pr wh	148.821	149.525	148.821	149.525	Sesotho	JUL	sme	u55	NA	NA	NA	Grandmother	17095	2	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
962	57058	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	oh no please	1	clara							ache ee hle	Sesotho	ache ee hle	ij ij ij	ache ee hle	2712767	ij ij ij	170.33	174.85	170.33	174.85	Sesotho	JUL	sme	u71	NA	NA	NA	Grandmother	17095	2	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
962	57059	2516	17095	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where are you going now ?	1	clara							uya kae jwale	Sesotho	u-y-a kae jwale	sm2s-t^p_go-m^in wh av	uya kae jwale	2712768	pfx-v-sfx wh av	174.85	177.33	174.85	177.33	Sesotho	JUL	sme	u72	NA	NA	NA	Grandmother	17095	2	8c_46	031000e.cha	Neuoe	Neuoe-031000e.cha	adult	Brother	OCDS
