utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
17685	MOT	mother	je vois pas les mêmes couleurs tu veux lapin rouge?				Anais/247a.cha	SIS	g						Anais	mother	Other child
17687	MOT	mother	bon				Anais/247a.cha	SIS	g						Anais	mother	Other child
17688	MOT	mother	attends				Anais/247a.cha	SIS	g						Anais	mother	Other child
17689	MOT	mother	il y avait des moules				Anais/247a.cha	SIS	g						Anais	mother	Other child
17691	MOT	mother	les trucs en plastique ils sont ou?				Anais/247a.cha	SIS	g						Anais	mother	Other child
17693	MOT	mother	tu peux me les ramasser s'il te plait?				Anais/247a.cha	SIS	g						Anais	mother	Other child
17718	MOT	mother	Chl				Anais/247a.cha	SIS	clara		SIS	Lara			Anais	mother	Other child
17720	MOT	mother	et alors ah oui c'est ta carte			%sit  Ana pleure 123365134975/Anais/247a.cha	Anais/247a.cha	SIS	clara		SIS	Lara			Anais	mother	Other child
17721	MOT	mother	et ça suffit Chl tu es pas obligée de la faire pester				Anais/247a.cha	SIS	clara		SIS	Lara			Anais	mother	Other child
17739	MOT	mother	tu peux me donner les crayons papiers dans la boite Cloe?				Anais/247a.cha	SIS	g						Anais	mother	Other child
17740	MOT	mother	les crayons la bas 				Anais/247a.cha	SIS	g						Anais	mother	Other child
17752	MOT	mother	merci				Anais/247a.cha	SIS	g						Anais	mother	Other child
17754	MOT	mother	merci Chloe				Anais/247a.cha	SIS	g						Anais	mother	Other child
17789	MOT	mother	prends les autres feuilles s'il te plait tiens				Anais/247a.cha	SIS	g						Anais	mother	Other child
17791	MOT	mother	je t'en ai mis des grands				Anais/247a.cha	SIS	g						Anais	mother	Other child
17793	MOT	mother	peut-être lacher ton ballon 				Anais/247a.cha	SIS	g						Anais	mother	Other child
17814	MOT	mother	attends leve toi Chloé				Anais/247a.cha	SIS	g						Anais	mother	Other child
17815	MOT	mother	d'accord c'est bon tu peux te rassoir				Anais/247a.cha	SIS	g						Anais	mother	Other child
17850	MOT	mother	oui je l'ai réparé hier soir				Anais/247a.cha	SIS	clara		SIS	Lara			Anais	mother	Other child
17851	MOT	mother	mais ils sont trop gros				Anais/247a.cha	SIS	clara		SIS	Lara			Anais	mother	Other child
17852	MOT	mother	faut un plus petit				Anais/247a.cha	SIS	clara		1	Lara		DIFFER	Anais	mother	Other child
17871	MOT	mother	ah oui				Anais/247a.cha	SIS	clara		SIS	Lara			Anais	mother	Other child
17902	MOT	mother	il est rose le ballon d' Ana?				Anais/247a.cha	SIS	clara		SIS	Lara			Anais	mother	Other child
17921	MOT	mother	tu veux une autre?				Anais/247a.cha	SIS	g						Anais	mother	Other child
18033	MOT	mother	oui tu fais des super trucs				Anais/247a.cha	SIS	g						Anais	mother	Other child
18105	MOT	mother	no il me faut de la mousse				Anais/247a.cha	SIS	g						Anais	mother	Other child
18106	MOT	mother	je sais pas ou elle s'est passée				Anais/247a.cha	SIS	g						Anais	mother	Other child
18110	MOT	mother	merci Chloe il y a pas du orange?				Anais/247a.cha	SIS	g						Anais	mother	Other child
18111	MOT	mother	du jaune				Anais/247a.cha	SIS	g						Anais	mother	Other child
