annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	53032	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Neuoe look here is the tape recorder	963	clara		963	1	Lara			Neuoe bona kumbakumba ke yane	Sesotho	Neuoe bon-a kumbakumba ke yane	a_name see-m^i tape_recorder(9,10) cp 9	Neuoe bona kumbakumba ke yane	2708741	??? v-sfx n cop d	702.471	711.128	702.471	711.128	Sesotho	MAR	sme	u72	NA	NA	NA	Mother	17032	11	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53033	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	question	Do you see it ?	963	clara		963	1	Lara			uaebona	Sesotho	u-a-e-bon-a	sm2s-t^p-om9-see-m^in	uaebona	2708742	pfx-pfx-pfx-v-sfx	855	859.415	855	859.415	Sesotho	MAR	sme	u73	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53034	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Neuoe	963	clara		963	1	Lara			Neuoe	Sesotho	Neuoe	a_name	Neuoe	2708743	???	859.415	860.434	859.415	860.434	Sesotho	MAR	sme	u74	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53036	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Neuoe go and go take mat of the baby over there	963	clara		963	1	Lara			Neuoe tsamaya uye honka phate ya ngwana ke yane	Sesotho	Neuoe tsamay-a u-y-e ho-nk-a phate ya ngwana ke yane	a_name leave-m^i sm2s-t^p_go-m^s if-take-m^pt bedclothes(9,10) 9 child(1irg) cp 9	Neuoe tsamaya uye honka phate ya ngwana ke yane	2708745	??? v-sfx pfx-v-sfx pfx-v-sfx n ps n cop d	863.12	868.621	863.12	868.621	Sesotho	MAR	sme	u76	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53037	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	question	Are you sulking so and so ?	963	clara		963	1	Lara			ukwatile na mmannyeo	Sesotho	u-kwat-il-e na mmannyeo	sm2s-sulk-t^pf-m^in q so_and_so(1a,2a)	ukwatile na mmannyeo	2708746	pfx-v-sfx-sfx q n	868.621	874.446	868.621	874.446	Sesotho	MAR	sme	u77	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53038	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Are you sulking ?	963	clara		963	1	Lara			ukwatile	Sesotho	u-kwat-il-e	sm2s-sulk-t^pf-m^in	ukwatile	2708747	pfx-v-sfx-sfx	874.446	876.746	874.446	876.746	Sesotho	MAR	sme	u78	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53039	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Go get the mat of baby	963	clara		963	1	Lara			tsamaya unke phate ya ngwana	Sesotho	tsamay-a u-nk-e phate ya ngwana	leave-m^i sm2s-t^p_take-m^s bedclothes(9,10) 9 child(1irg)	tsamaya unke phate ya ngwana	2708748	v-sfx pfx-v-sfx n ps n	876.746	880.589	876.746	880.589	Sesotho	MAR	sme	u79	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53040	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Take and put my hat on the bed	963	clara		963	1	Lara			nka ubehe katiba yaka betheng	Sesotho	nk-a u-beh-e katiba ya-ka bethe-ng	take-m^i sm2s-t^p_put-m^s hat(9,10) 9-1s bed(9,10)-lc	nka ubehe katiba yaka betheng	2708749	v-sfx pfx-v-sfx n ps-sfx n-sfx	880.589	886.082	880.589	886.082	Sesotho	MAR	sme	u80	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53041	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Go and put on the bed	963	clara		963	1	Lara			tsamaya ubehe betheng	Sesotho	tsamay-a u-beh-e bethe-ng	leave-m^i sm2s-t^p_put-m^s bed(9,10)-lc	tsamaya ubehe betheng	2708750	v-sfx pfx-v-sfx n-sfx	886.082	894.314	886.082	894.314	Sesotho	MAR	sme	u81	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53042	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Leave baby alone	963	clara		963	1	Lara			tlohella ngwana	Sesotho	tlohell-a ngwana	leave-m^i child(1irg)	tlohella ngwana	2708751	v-sfx n	894.314	908.131	894.314	908.131	Sesotho	MAR	sme	u82	NA	NA	NA	Mother	17032	14	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53043	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Put it over near near the pillow of baby	963	clara		963	1	Lara			beha mane pela mosamo wa ngwana	Sesotho	beh-a mane pela mo-samo wa ngwana	put-m^i loc loc 3-pillow(3,4) 3 child(1irg)	beha mane pela mosamo wa ngwana	2708752	v-sfx loc loc pfx-n ps n	915	920.023	915	920.023	Sesotho	MAR	sme	u83	NA	NA	NA	Mother	17032	15	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53044	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Give him	963	clara		963	1	Lara			monehe	Sesotho	mo-neh-e	om1-give-m^i	monehe	2708753	pfx-v-sfx	915	920.023	915	920.023	Sesotho	MAR	sme	u84	NA	NA	NA	Mother	17032	15	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53045	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	I don't see him running away	963	clara		963	1	Lara			ha kebone abaleha	Sesotho	ha ke-bon-e a-baleh-a	ng sm1s-t^p_see-m^x sm1-t^p_run_away-m^pt	ha kebone abaleha	2708754	ng pfx-v-sfx pfx-v-sfx	920.023	925.525	920.023	925.525	Sesotho	MAR	sme	u85	NA	NA	NA	Mother	17032	15	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53046	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	question	Are you running away ?	963	clara		963	1	Lara			uabaleha	Sesotho	u-a-baleh-a	sm2s-t^p-run_away-m^in	uabaleha	2708755	pfx-pfx-v-sfx	920.023	925.525	920.023	925.525	Sesotho	MAR	sme	u86	NA	NA	NA	Mother	17032	15	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53047	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	She is sulking today	963	clara		963	1	Lara			okwatile kajeno	Sesotho	o-kwat-il-e kajeno	sm1-sulk-t^pf-m^in av	okwatile kajeno	2708756	pfx-v-sfx-sfx av	935.5	938.209	935.5	938.209	Sesotho	MAR	sme	u87	NA	NA	NA	Mother	17032	15	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
1	53048	2506	17032	959	Maria	NA	Female	Mother	Mother	Adult	default	Hey !	963	clara		?	?	Lara		DIFFER	helang	Sesotho	helang	ij	helang	2708757	ij	938.209	939.511	938.209	939.511	Sesotho	MAR	sme	u88	NA	NA	NA	Mother	17032	15	2c_82.25	030800cd.cha	Neuoe	Neuoe-030800cd.cha	mother	Keychild	CDS
