utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
14871	COU	Anouk Cousin Relative	oui .			 	Anae/317.cha	COU	clara						Anae	child	Other child
14958	COU	Anouk Cousin Relative	tiens de l'eau Arthur .	%act CHI tend une tasse à BR1		%act CHI tend une tasse à BR1 	Anae/317.cha	BR1	clara						Anae	child	Other child
14959	COU	Anouk Cousin Relative	Arthur de l'eau .			 	Anae/317.cha	BR1	clara						Anae	child	Other child
14960	BR1	Brother1	mais j'en veux pas .			 	Anae/317.cha	COU	clara						Anae	child	Other child
14961	COU	Anouk Cousin Relative	ben si .			 	Anae/317.cha	BR1	clara						Anae	child	Other child
15126	BR1	Brother1	mais non t(u) as déménagé .			 	Anae/317.cha	COU	clara						Anae	child	Other child
15349	BR1	Brother1	< mais si .			 	Anae/317.cha	COU	clara						Anae	child	Other child
15357	BR1	Brother1	< regarde comme ça et après il y a Anaé qui s(e) met derrière .			 	Anae/317.cha	COU	clara						Anae	child	Other child
16066	COU	Anouk Cousin Relative	< hé Arthur yyy euh regarde les Playmobil d' Anaé .	%xpnt show les jeux de l'index mouvement furtif		%xpnt show les jeux de l'index mouvement furtif 	Anae/317.cha	BR1	clara			Lara			Anae	child	Other child
16100	COU	Anouk Cousin Relative	< ‹Ar(thur) [/]› Arthur .			 	Anae/317.cha	BR1	clara			Lara			Anae	child	Other child
16191	BR1	Brother1	< mais non c'est un pantalon .			 	Anae/317.cha	COU	clara			Lara			Anae	child	Other child
16208	COU	Anouk Cousin Relative	non .			 	Anae/317.cha	BRO	clara			Lara			Anae	child	Other child
