utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee
16387	MOT	mother	ciao				Anais/239a.cha	FAT	clara	FAT	Lara		Anais	mother	Adult
16389	MOT	mother	au revoir				Anais/239a.cha	FAT	clara	FAT	Lara		Anais	mother	Adult
16391	MOT	mother	et bah dis lui au revoir Fat				Anais/239a.cha	FAT	clara	FAT	Lara		Anais	mother	Adult
23192	MOT	mother	mes clefs tu me les as posées?				Anais/2511a.cha	FAT	L				Anais	mother	Adult
23194	MOT	mother	à tout à l'heure				Anais/2511a.cha	FAT	L				Anais	mother	Adult
23196	MOT	mother	ciao				Anais/2511a.cha	FAT	L				Anais	mother	Adult
23197	MOT	mother	hein				Anais/2511a.cha	FAT	L				Anais	mother	Adult
23198	MOT	mother	d'accord!				Anais/2511a.cha	FAT	L				Anais	mother	Adult
27769	MOT	mother	ah j'ai oublié de l'éteindre-ah non				Anais/2621a.cha	FAT	L				Anais	mother	Adult
27771	MOT	mother	ciao				Anais/2621a.cha	FAT	L				Anais	mother	Adult
27773	MOT	mother	ya un spectacle de marionnettes à l'école mais je sais pas quel jour c'est				Anais/2621a.cha	FAT	L				Anais	mother	Adult
27774	MOT	mother	tu veux savoir quel jour c'est ? 				Anais/2621a.cha	FAT	L				Anais	mother	Adult
27775	MOT	mother	j'ai oublié de relever				Anais/2621a.cha	FAT	L				Anais	mother	Adult
27777	MOT	mother	ciao				Anais/2621a.cha	FAT	L				Anais	mother	Adult
27825	MOT	mother	ah bah j(e) le dirais à ta mère				Anais/2621a.cha	FAT					Anais	mother	Adult
28642	MOT	mother	bon alors le 16 et le 19  céréales				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28645	MOT	mother	mais non je sais pas				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28647	MOT	mother	xxx c'est pour chloé le yaourt				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28648	MOT	mother	ok				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28649	MOT	mother	c'est tout?				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28650	MOT	mother	xxx				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28651	MOT	mother	xxx				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28652	MOT	mother	xxx				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28653	MOT	mother	tu veux un café?				Anais/2621a.cha	FAT	L				Anais	mother	Adult
28679	MOT	mother	les deux?				Anais/2621a.cha	FAT	L				Anais	mother	Adult
