%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|très adj|facile ?
%mor:	co|ah pro:dem|ce$v:exist|être&PRES&3s neg|pas adj|facile
%mor:	co|non=no
%mor:	adv|plutôt
%mor:	prep|pour v|enlever-INF
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	co|bah v:mdl|aller&PRES&2s pro:y|y
%mor:	co|oh adv|si part|taire-PP&m v:aux|être&PRES&2s adj|fort&m
%mor:	v|regarder-IMP&2s
%mor:	co|euh n|force&f n|force&f
%mor:	pro:sub|ils conj|si$pro:y|en v|foutre&PRES&3p pro:dem|ça
	det:art|les&pl n|voisin&m-PL
%mor:	adv|que part|taire-PP&m
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ça
%mor:	part|taire-PP&m det:art|les&pl re#v|mettre-PRES&12s adv|après
%mor:	adv|d'accord ?
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s prep|en v|mettre-INF
	det:art|une&f&sg adv|comme pro:dem|ça
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je$v:aux|avoir&PRES&1s adv|jamais part|essayer-PP&m
	adv|comme pro:dem|ça
%mor:	v|regarder-IMP&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:dem|ça v|rouler-PRES&SUB&13s adv|aussi adv|comme pro:dem|ça
%mor:	pro:sub|elle v:aux|avoir&PRES&3s adv|combien prep|de n|roue&f-PL ?
%mor:	co|ah adv|d'accord
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s
%mor:	v|regarder-IMP&2s
%mor:	det:art|un&m&sg n|deux&m n|trois&m
%mor:	n|trois&m n|roue&f-PL
%mor:	co|oh co|bah pro:sub|elle v:aux|être&PRES&3s
%mor:	det:art|une&f&sg adj|drôle prep|de n|voiture&f pro:dem|ça
%mor:	det:art|un&m&sg n|peu&m
%mor:	pro:sub|elle v:aux|avoir&PRES&3s num|deux n|roue&f-PL pro:int|qui
	v:aux|être&PRES&3p prep|à n|côté&m conj|et adv|puis n|deux&m
	n|roue&f-PL pro:int|qui v:aux|être&PRES&3p prep|à&le adv:place|loin
%mor:	num|deux
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|elles
	v:aux|être&PRES&3p adv:place|près det:art|les&pl num|deux
	n|roue&f-PL
%mor:	adv:place|là pro:sub|elles v:aux|être&PRES&3p adv:place|loin
%mor:	adv:place|loin
%mor:	conj|et pro:sub|elles v:aux|être&PRES&3p n|noir&f-PL adv|aussi
	n|oui&m
%mor:	v|regarder-PRES&SUB&13s prep|loin det:art|le$pro|une&f&sg prep|de
	det:art|le$pro|autre&sg
%mor:	conj|et adv|puis adv:place|là pro:sub|elles v:exist|être&PRES&3p
	n|proche-PL
%mor:	prep|loin conj|et n|proche
%mor:	v|regarder-IMP&2s ?|cellelà
%mor:	pro:sub|elle v|dessiner-IMP&2s co|hein
%mor:	co|ah co|bah adv:place|là co|hein
%mor:	v|regarder-IMP&2s conj|et pro:sub|on v:mdl|pouvoir&COND&3s
	adv|aussi pro:sub|on v:mdl|pouvoir&COND&3s v|essayer-INF prep|de
	v:mdl|faire-INF pro:dem|ça adv|aussi
%mor:	v|regarder-IMP&2s
%mor:	co|ouf
%mor:	v:aux|avoir&PRES&1s part|faire-PP&m n|pipi&m=peepee adv:place|là
%mor:	co|hein ?
%mor:	adv|mais part|taire-PP&m n|peu&m-PL neg|pas v|demander-INF
	prep|de$v:mdl|aller&INF prep|à&les n|toilette&f-PL ?
%mor:	co|hein ?
%mor:	pro:sub|tu v:mdl|savoir&PRES&12s prep|que adv|maintenant
	v:mdl|aller&PRES&3s v:mdl|falloir&INF det:art|un&m&sg n|peu&m
	co|hein
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|on v|dire-COND&3s det:art|un&m&sg n|aspirateur&m
	v|regarder-PRES&SUB&13s
%mor:	co|oh adv:place|là det:art|la&f&sg n|tête&f
%mor:	co|ah n|tien&m-PL pro:sub|il v:exist|être&IMPF&3s adv:place|là
	v|tenir-IMP&2s
%mor:	adv|mais adv|vraiment det:poss|ta&f&sg n|voiture&f co|hein
%mor:	v:mdl|falloir&PRES&3s pro:obj|le$v|amener-INF prep|à&le n|garage&m
	co|hein
%mor:	v:mdl|falloir&PRES&3s pro:obj|la v:mdl|faire-INF v|réparer-INF
	co|hein
%mor:	v|regarder-IMP&2s
