%mor:	pro:sub|elles v:aux|être&PRES&3p pro:int|où ?|chl ?
%mor:	part|taire-PP&m dé#v|couper-PRES&SUB&2s pro:int|quoi ?|ana ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	v|couper-INF pro:int|quoi ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	v|regarder-IMP&2s pro:dem|ce pro:int|que
	pro:dem|ce$v:aux|être&PRES&3s n|avant&m prep|de dé#v|couper-INF
%mor:	conj|et adv|doucement ?|làbas
%mor:	v|venir-IMP&2s det:poss|ma&sg ?|nounette
%mor:	v|venir-IMP&2s n|ver&m-PL pro|moi&sg det:poss|mon&m&sg
%mor:	v|couper-INF n|maman&f
%mor:	v|tenir-IMP&2s v|couper-IMP&2s
%mor:	co|allez v|couper-IMP&2s
%mor:	v|attendre-IMP&2s pro:y|y pro:y|en v:aux|avoir&PRES&3s num|deux
	v:mdl|faire-PRES&12s n|attention&f
%mor:	co|oups v|attendre-PRES&12s pro:sub|je v:mdl|aller&PRES&1s
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|commencer-INF adv|par
	det:art|le&m&sg n|cochon&m
%mor:	pro:sub|il v:aux|être&PRES&3s n|moins&m adv|dur
%mor:	part|taire-PP&m v|permettre-IMP&2s ?
%mor:	pro:sub|on v:mdl|faire-FUT&3s det:art|le&m&sg n|lapin&m prep|après
	adv|quand pro:sub|je pro:obj|me v:aux|être&FUT&1s
	part|entraîner-PP&f
%mor:	pro:int|où pro:sub|il v:aux|être&PRES&3s det:poss|ton&m&sg
	n|ballon&m ?|noune ?
%mor:	co|ah co|ben co|voilà pro:dem|ce adv|que pro:sub|je
	v|chercher-IMPF&12s
%mor:	adv|alors
%mor:	pro:sub|il v:exist|être&PRES&3s det:art|un&m&sg n|peu&m adj|gros&m
	det:poss|ton&m&sg n|crayon&m det:poss|mon&m&sg n|ange&m
%mor:	pro:sub|il v:aux|être&PRES&3s adv|trop adj|gros&m
%mor:	det:art|un&m&sg adj|petit&m pro:sub|je v:mdl|vouloir&PRES&12s
%mor:	det:art|le&m&sg adj|petit&m prep|de
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|on
	v:aux|avoir&PRES&3s part|prendre-PP&m n|hier&m adv:place|là ?
%mor:	co|non=no pro:dem|celui&m&sg prep|que ?|chl pro:sub|elle
	v:aux|avoir&PRES&3s adv:place|là n|merci
%mor:	v|tenir-IMP&2s pro:sub|je pro:obj|te v|rendre-PRES&12s
	det:poss|ton&m&sg n|crayon&m
%mor:	co|merci ?|ana
%mor:	adv:int|pourquoi pro:sub|il v:aux|être&PRES&3s adj|jaune ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|un&m&sg adj|jaune
	prep|que pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s
	part|gonfler-PP&m ?
%mor:	adv|si pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s part|gonfler-PP&m
	det:art|un&m&sg adj|jaune ?
%mor:	co|non=no pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s
	part|gonfler-PP&m det:art|un&m&sg n|rose
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg n|rose ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|gonfler-PP&m det:art|un&m&sg
	adj|jaune pro|moi&sg ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|le&m&sg adv|même
%mor:	part|taire-PP&m pro:obj|me v|prêter-PRES&SUB&2s det:poss|tes&pl
	n|ciseau&m-PL det:poss|mon&m&sg n|coeur&m ?
%mor:	n|si&m adv|parce adv|que pro:sub|je v:mdl|vouloir&PRES&12s
	v|couper-INF pro:dem|ça
%mor:	adv|après pro:sub|je pro:obj|te v|rendre-PRES&12s n|tout&m prep|de
	n|suite&f
%mor:	co|non=no part|taire-PP&m v:mdl|aller&PRES&2s neg|pas n|pouvoir&m
	v|suivre-INF det:art|le&m&sg n|rond&m
%mor:	pro:dem|ça v:mdl|aller&PRES&3s v:aux|être&INF part|compliquer-PP&m
%mor:	v:mdl|falloir&PRES&3s prep|que pro:sub|je v|trouver-IMP&2s
	prep|de$pro|autres&pl n|ciseau&m-PL pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ça ?
%mor:	co|bon
%mor:	adv|d'accord
%mor:	part|taire-PP&m dé#v|couper-PRES&SUB&2s pro|toi&sg ?
%mor:	adv|d'accord
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	adv|encore v|couper-INF ?
%mor:	part|taire-PP&m v|couper-PRES&SUB&2s pro:dem|ça ?
%mor:	co|oui=yes v:mdl|aller&PRES&2s pro:y|y v|couper-PRES&SUB&13s
%mor:	co|attention ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s co|attention prep|à
	det:poss|tes&pl n|doigt&m-PL ?
%mor:	co|euh pro:sub|je$v:aux|avoir&PRES&1s adv|encore adj|perdu&m
	det:art|le&m&sg n|ballon&m adv:place|voilà
%mor:	adv|alors
%mor:	v:mdl|falloir&PRES&3s neg|pas v|couper-INF co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|nez&m prep|de&le
	n|cochon&m
%mor:	adv|alors pro:sub|il pro:obj|nous v:mdl|falloir&PRES&3s
%mor:	n|deux&m adj|petit&m-PL n|rond&m-PL adj|jaune adv:place|là
%mor:	v|attendre-IMP&2s det:art|les&pl n|gommette&f-PL=sticker
	pro:sub|elles v:aux|être&PRES&3p pro:int|où ?
%mor:	pro:sub|elles v:aux|être&PRES&3p pro:int|où det:art|les&pl
	n|gommette&f-PL=sticker ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|les&pl
	n|gommette&f-PL=sticker
%mor:	pro:sub|on v|chercher-PRES&SUB&13s prep|de&les adj|petit&m-PL
	adj|jaune-PL
%mor:	co|non=no pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adv|trop
	adj|gros&m pro:dem|ça
%mor:	v|attendre-IMP&2s
%mor:	prep|de&les n|rond&m-PL adj|jaune-PL adv|comme pro:dem|ça
%mor:	prep|de&les adv|plus adj|petit&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|orange-PL
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s ?
%mor:	co|mh ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg n|tien&m
	prep|de n|crayon&m
%mor:	v:mdl|faire-PRES&12s v|voir&INF det:art|la&f&sg
	n|gommette&f=sticker
%mor:	co|merci
%mor:	conj|et det:poss|ton&m&sg n|crayon&m ?
%mor:	adv|d'accord adv|alors part|taire-PP&m v:mdl|savoir&PRES&12s
	pro:dem|ce adv|que part|taire-PP&m v:mdl|faire-PRES&12s ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|tenir-INF conj|et part|taire-PP&m
	v|tourner-PRES&SUB&2s
%mor:	co|voilà v:mdl|faire-PRES&12s det:art|le&m&sg n|rond&m n|autour&m
	adv:place|là adv:place|là
%mor:	prep|avec det:poss|ton&m&sg n|crayon&m
%mor:	prep|avec det:poss|ton&m&sg n|stylo&m ?|ana
%mor:	v|passer-PRES&SUB&13s prep|à&le n|milieu&m adv:place|là
%mor:	adv|comme pro:dem|ça n|oui&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|mettre-PP&m
	det:art|le&m&sg n|bouchon&m ?
%mor:	adv|comme pro:dem|ça part|taire-PP&m v|tenir-IMP&2s
%mor:	v|prendre-PRES&IMP&12s det:poss|ton&m&sg n|crayon&m prep|comme
	pro:sub|il v:mdl|falloir&PRES&3s
%mor:	v|prendre-PRES&IMP&12s det:art|le&m&sg adv|comme pro:sub|il
	v:mdl|falloir&PRES&3s prep|dans det:art|la&f&sg n|main&f
%mor:	adv|tant n|pis&m prep|pour det:art|le&m&sg n|bouchon&m
%mor:	v|tenir-IMP&2s det:art|le&m&sg adv|comme pro:sub|il det:art|le&m&sg
	v:mdl|falloir&PRES&3s det:poss|ton&m&sg n|stylo&m det:poss|mon&m&sg
	n|coeur&m
%mor:	adv|comme pro:dem|ça
%mor:	co|bon pro:sub|on v:mdl|aller&PRES&3s v|dire-INF prep|que
	pro:dem|ce$v:aux|être&PRES&3s adv|presque co|ah
%mor:	adv|puis pro:sub|il v:mdl|falloir&PRES&3s v:mdl|faire-INF
	det:art|le&m&sg n|tour
%mor:	adv:place|voilà
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s dé#v|couper-INF
	?|celuilà
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|trouver-PP&m ?
%mor:	det:art|un&m&sg n|ballon&m
%mor:	n|ballon&m
%mor:	det:art|un&m&sg n|ballon&m
%mor:	conj|et pro:sub|il v:aux|être&PRES&3s n|comment&m det:poss|ton&m&sg
	n|ballon&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:poss|notre&sg n|truc&m
	adv:place|là v|attendre-IMP&2s
%mor:	co|ah adv|d'accord
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:poss|ton&m&sg n|truc&m
	?
%mor:	v|attendre-IMP&2s v:mdl|falloir&PRES&3s v|coller-INF
	adv:place|dessus
%mor:	pro:sub|tu v|prendre-PRES&IMP&12s det:art|la&f&sg n|colle&f ?
%mor:	co|ah co|non=no pro:sub|il v:mdl|falloir&PRES&3s v|mouiller-INF
	adv:place|là
%mor:	?|celleslà pro:sub|elles v:aux|être&PRES&3p
%mor:	part|taire-PP&m v|mouiller-PRES&SUB&2s adv:place|là conj|et
	adv|puis part|taire-PP&m n|colle&f-PL prep|sur det:art|le&m&sg
	n|côté&m adv:place|là
%mor:	co|oui=yes pro|toi&sg co|tiens pro:dem|ce$v:aux|être&PRES&3s
	pro|toi&sg pro:int|qui n|colle&f adv:place|voilà
%mor:	co|hop part|taire-PP&m v:aux|avoir&PRES&2s part|coller-PP&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s
%mor:	co|ah co|oui=yes co|ouais=yes pro:sub|je
	pro:obj|le$v:poss|avoir&PRES&1s prep|vu v|tomber-INF
%mor:	?|qu'estce prep|que part|taire-PP&m pro:obj|me
	v:mdllex|faire-IMP&2s adv:place|là ?
%mor:	n|colle&f det:art|le&m&sg adv:place|là
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|tenir-IMP&2s v|mettre-IMP&2s det:art|le&m&sg adv:place|là
%mor:	co|non=no co|bon
