utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
36251	MOT	mother	xxx j'ai pas rangé ça va arrête				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36252	MOT	mother	mets tes chaussettes				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36253	MOT	mother	oh dis donc attention Ame hein				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36346	MOT	mother	ouais c'est une bonne idée mais ça va pas bien tenir avec le scotch 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36347	MOT	mother	xxx jvais te coiffer 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36350	MOT	mother	viens viens viens chut chut chut 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36351	MOT	mother	viens voir 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36353	MOT	mother	Ame viens				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36356	MOT	mother	Ame 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36363	MOT	mother	ouais xxx 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36364	MOT	mother	xxx tu vas pas lui passer 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36365	MOT	mother	ça m'étonnerait				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36366	MOT	mother	ce serait bien mais 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36374	MOT	mother	allez tu vas jouer tu vas baigner tes bébés là 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36375	MOT	mother	xxx leur donner le bain d'accord ? 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36386	MOT	mother	toi tu vas un petit peu plus loin je t'ai demandé Ame hein				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36387	MOT	mother	on s'est occupé de toi tout le weekend pendant quatre jours				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36388	MOT	mother	ça va une heure tu peux //				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36397	MOT	mother	Ame je je vais me fâcher				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36398	MOT	mother	je te demande pour une fois de nous laisser tranquilles 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36399	MOT	mother	allez va plus loin				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36403	MOT	mother	c'est comme ça				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36404	MOT	mother	c'est une fois tous les quinze jours				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36405	MOT	mother	tu as une heure où tu vas faire autre chose				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36407	MOT	mother	tu apprends à jouer toute seule				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36408	MOT	mother	ça te fait beaucoup de bien				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36507	MOT	mother	Ame				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36515	MOT	mother	Ame qu'estce que je t'avais dit?				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36524	MOT	mother	tu avais rangé +//				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36525	MOT	mother	tu avais rangé ta chambre				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36526	MOT	mother	www				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36527	MOT	mother	oh c'est moi qui ai rangé ta chambre tout à l'heure				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36528	MOT	mother	et encore tu appelles ça ranger toi?				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
36698	MOT	mother	oui tu peux faire				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36700	MOT	mother	oui				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36702	MOT	mother	ah bah je me doute bien				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36703	MOT	mother	je comprends pourquoi c'etait pas encore tout sorti ça 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36704	MOT	mother	allez tu vas dans la cuisine pour faire ça 				Theotime/263a.cha	SIS	c						Theotime	mother	Other child
36797	MOT	mother	oh la Ame				Theotime/263a.cha	SIS	clara						Theotime	mother	Other child
