annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotatorName1	commentsAnnotation1	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id_acqdiv	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role	speaker_id.1	MinuteofUtterance	TotalRecordingTime	keychild	speaker	role_adressee	register
960	65903	2530	17202	982	Ntate	NA	NA	Adult	Adult	default	Your mother	clara	NA	NA	NA	NA	NA	mme wahao	Sesotho	mme wa-hao	mother(1a 2a) 1a-2s	mme wahao	2721612	n ps-sfx	5.392.155	5.393.085	5.392.155	5.393.085	Sesotho	NTE	sme	u319	NA	NA	NA	NA	NA	89	15c_95.14	Tsebo	adult	Brother	OCDS
960	52745	2505	17024	958	Julia	NA	Female	Grandmother	Adult	question	Why don't you take the pods with both hands L ?	clara	NA	NA	NA	NA	NA	ha unke ka matsoho amabedi ke eng makhapetla TSenetu	Sesotho	ha u-nk-e ka ma-tsoho a-ma-bedi ke eng ma-khapetla TSenetu	ng sm2s-t^p_take-m^x pr 6-hand(5,6) 6-6-nm cp wh 6-peel(5,6) a_name	ha unke ka matsoho amabedi ke eng makhapetla TSenetu	2708454	ng pfx-v-sfx pr pfx-n pfx-pfx-nm cop wh pfx-n ???	2.901.073	2.907.396	2.901.073	2.907.396	Sesotho	JUL	sme	u147	NA	NA	NA	Grandmother	17024	48	1c_63.27	Tsebo	adult	Brother	OCDS
960	52744	2505	17024	958	Julia	NA	Female	Grandmother	Adult	question	What are you doing ?	clara	NA	NA	NA	NA	NA	uetsang	Sesotho	u-ets-a-ng	sm2s-t^p_do-m^in-wh	uetsang	2708453	pfx-v-sfx-sfx	2.897.195	2.901.073	2.897.195	2.901.073	Sesotho	JUL	sme	u146	NA	NA	NA	Grandmother	17024	48	1c_63.27	Tsebo	adult	Brother	OCDS
960	67035	2534	17222	958	Julia	NA	Female	Grandmother	Adult	default	Where are you going now ?	clara	NA	NA	NA	NA	NA	uya kae jwale	Sesotho	u-y-a kae jwale	sm2s-t^p_go-m^in wh av	uya kae jwale	2722744	pfx-v-sfx wh av	4.953.555	4956.33	4.953.555	4956.33	Sesotho	JUL	sme	u276	NA	NA	NA	NA	NA	82	16c_95	Tsebo	adult	Brother	OCDS
960	65292	2529	17187	958	Julia	NA	Female	Grandmother	Adult	default	What ?	clara	NA	960	Lara	NA	NA	hm	Sesotho	hm	ij	hm	2721001	ij	1085.25	1.086.245	1085.25	1.086.245	Sesotho	JUL	sme	u203	NA	NA	NA	Grandmother	17193	18	15c_95.14	Tsebo	adult	Brother	OCDS
963	52755	2505	17024	958	Julia	NA	Female	Grandmother	Adult	question	Yes do you know ?	clara	NA	NA	NA	NA	NA	e uatseba	Sesotho	e u-a-tseb-a	ij sm2s-t^p-know-m^in	e uatseba	2708464	ij pfx-pfx-v-sfx	2926.8	2.928.298	2926.8	2.928.298	Sesotho	JUL	sme	u157	NA	NA	NA	Grandmother	17024	48	1c_63.27	Tsebo	adult	Cousin	OCDS
963	56925	2515	17086	958	Julia	NA	Female	Grandmother	Adult	default	I will not give them peaches	clara	NA	NA	NA	NA	NA	nkekebekabafa	Sesotho	n-kekebe-ka-ba-f-a	sm1s-t^po/ng-sm1s-om2-give-m^pt	nkekebekabafa	2712634	pfx-pfx-pfx-pfx-v-sfx	5.302.161	5304.78	5.302.161	5304.78	Sesotho	JUL	sme	u670	NA	NA	NA	Grandmother	17086	88	7c_92.23	Tsebo	adult	Cousin	OCDS
963	52952	2505	17024	958	Julia	NA	Female	Grandmother	Adult	default	Go away so that I can see where it is going	clara	NA	NA	NA	NA	NA	tloha nke kebone na eya kae	Sesotho	tloh-a nke ke-bon-e na e-y-a kae	abandon-m^i ht sm1s-t^p_see-m^s q sm9-t^p_go-m^pt wh	tloha nke kebone na eya kae	2708661	v-sfx ht pfx-v-sfx q pfx-v-sfx wh	3.735.413	3.739.837	3.735.413	3.739.837	Sesotho	JUL	sme	u354	NA	NA	NA	Grandmother	17024	62	1c_63.27	Tsebo	adult	Cousin	OCDS
963	57115	2516	17101	973	Mapotlako	NA	NA	Adult	Adult	default	Yes	clara	NA	NA	NA	NA	NA	e	Sesotho	e	ij	e	2712824	ij	342.573	344.352	342.573	344.352	Sesotho	MPT	sme	u128	NA	NA	NA	Speaker	17101	5	8c_46	Tsebo	adult	Cousin	OCDS
963	57207	2516	17098	972	Masello	NA	NA	Adult	Adult	question	What will you ride ?	clara	NA	NA	NA	NA	NA	utlapalamang	Sesotho	u-tla-palam-a-ng	sm2s-t^f1-ride-m^in-wh	utlapalamang	2712916	pfx-pfx-v-sfx-sfx	593.152	594.155	593.152	594.155	Sesotho	MSL	sme	u220	NA	NA	NA	Speaker	17098	9	8c_46	Tsebo	adult	Cousin	OCDS
963	52843	2505	17024	958	Julia	NA	Female	Grandmother	Adult	default	on top	clara	NA	NA	NA	NA	NA	ka hodimo	Sesotho	ka hodimo	pr loc	ka hodimo	2708552	pr loc	3268.5	3.272.277	3268.5	3.272.277	Sesotho	JUL	sme	u245	NA	NA	NA	Grandmother	17024	54	1c_63.27	Tsebo	adult	Cousin	OCDS
963	57256	2516	17095	958	Julia	NA	Female	Grandmother	Adult	default	Nearby	clara	NA	NA	NA	NA	NA	haufinyane	Sesotho	haufi-nyane	av-dim	haufinyane	2712965	pfx-pfx	706.405	707.595	706.405	707.595	Sesotho	JUL	sme	u269	NA	NA	NA	Grandmother	17095	11	8c_46	Tsebo	adult	Cousin	OCDS
963	57319	2516	17098	972	Masello	NA	NA	Adult	Adult	question	Who is your grand father ?	clara	NA	NA	NA	NA	NA	ntatemoholo wahao ke mang	Sesotho	ntatemoholo wa-hao ke mang	grandfather(1a,2a) 1a-2s cp wh	ntatemoholo wahao ke mang	2713028	n ps-sfx cop wh	NA	NA	NA	NA	Sesotho	MSL	sme	u332	NA	NA	NA	Speaker	17098	NA	8c_46	Tsebo	adult	Cousin	OCDS
