annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
881	2803	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	No	881	emilie		881	881	clara			ee	Sesotho	ee	ij	ee	2658512	ij	185.239	186.2	185.239	186.2	Sesotho	MOL	sme	u75	NA	1640	NA	Cousin	16448	3	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
881	2906	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	Sisters will do us	881	emilie		1	1	clara		DIFFER	masista areetsa	Sesotho	ma-sista a-re-ets-a	6-nun/health_worker(9,6) sm6-t^p.om1p-do-m^in	masista areetsa	2658615	pfx-n pfx-pfx-v-sfx	387.588	390.425	387.588	390.425	Sesotho	MOL	sme	u178	NA	1640	NA	Cousin	16448	6	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
884	2970	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	You heard when he insulted me ?	884	emilie		?	?	clara		DIFFER	uutlwile ha oanrwaka moo	Sesotho	u-utlw-il-e ha o-a-n-rwak-a moo	sm2s-hear-t^pf-m^in cd sm1-t^p-om1s-insult-m^pt loc	uutlwile ha oanrwaka moo	2658679	pfx-v-sfx-sfx cd pfx-pfx-pfx-v-sfx loc	596.997	599.03	596.997	599.03	Sesotho	MOL	sme	u242	NA	1640	NA	Cousin	16448	9	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Mother	ADS
884	3249	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	He is naked	884	emilie		?	?	clara		DIFFER	yena otsotse	Sesotho	yena o-tsots-e	1 sm1-take_off/t^pf-m^in	yena otsotse	2658958	pn pfx-v-sfx	1546.8	1.550.104	1546.8	1.550.104	Sesotho	MOL	sme	u521	NA	1640	NA	Cousin	16448	25	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Mother	ADS
881	3284	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	Potatoes	881	emilie		881	881	clara			ditapole	Sesotho	di-tapole	10-potato(9,10)	ditapole	2658993	pfx-n	1.774.621	1.776.237	1.774.621	1.776.237	Sesotho	MOL	sme	u556	NA	1640	NA	Cousin	16448	29	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
881	3554	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	Mother	881	emilie		881	881	clara			mme	Sesotho	mme	mother(1a,2a)	mme	2659263	n	2.366.144	2.366.942	2.366.144	2.366.942	Sesotho	MOL	sme	u826	NA	1640	NA	Cousin	16448	39	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
881	3556	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	I am going to shit	881	emilie		881	881	clara			keilokaka	Sesotho	ke-ilo-kak-a	sm1s-t^f4-shit-m^in	keilokaka	2659265	pfx-pfx-v-sfx	2.371.489	2.373.674	2.371.489	2.373.674	Sesotho	MOL	sme	u828	NA	1640	NA	Cousin	16448	39	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
881	3710	2420	16448	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	Hlobohang he wants two him	881	emilie		1	1	clara		DIFFER	Hlobohang obatla tsepedi enwa	Sesotho	Hlobohang o-batl-a tse-pedi enwa	a_name sm1-t^p_want-m^in 10-nm 1	Hlobohang obatla tsepedi enwa	2659419	??? pfx-v-sfx pfx-nm d	2.769.671	2.773.718	2.769.671	2.773.718	Sesotho	MOL	sme	u982	NA	1640	NA	Cousin	16448	46	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
881	3766	2421	16453	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	Hopolang arrives with your bread	881	emilie							Hopolang oafihla ka bohobe bahao	Sesotho	Hopolang o-a-fihl-a ka bo-hobe ba-hao	a_name sm1-t^p-arrive-m^in pr 14-bread(14) 14-2s	Hopolang oafihla ka bohobe bahao	2659475	??? pfx-pfx-v-sfx pr pfx-n ps-sfx	3185.8	3.189.068	3185.8	3.189.068	Sesotho	MOL	sme	u50	NA	1640	NA	Cousin	16453	53	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
881	3768	2421	16453	885	Mololo	4;6.0	NA	Cousin	Cousin	Child	default	Hopolang	881	emilie							Hopolang	Sesotho	Hopolang	a_name	Hopolang	2659477	???	3.189.571	3.190.644	3.189.571	3.190.644	Sesotho	MOL	sme	u52	NA	1640	NA	Cousin	16453	53	4_95.13	020200ab.cha	Hlobohang	Hlobohang-020200ab.cha	child	Grandmother	ADS
