utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
32162	SIS	sister	tu es timide?				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32163	SIS	sister	moi je suis pas timide avec les gens			%sit  Tim se rassoie sur la chaise et tire le paquet de gâteaux à lui /Theotime/239b.cha	Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32169	SIS	sister	c'est c'est maman?				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32194	SIS	sister	oh tu prends tu //				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32195	SIS	sister	tu en prends tout hein				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32196	SIS	sister	si tu veux on www échange				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32197	SIS	sister	je vais te donner un gâteau				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32199	SIS	sister	donne				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32205	SIS	sister	moi je veux pas des miettes hein				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32236	SIS	sister	non				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32757	SIS	sister	Tim tu veux que je t'accroche ton train?				Theotime/2324a.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
32772	SIS	sister	xxx Tim xxx				Theotime/2324a.cha	1	clara	1	Lara		Theotime	other child	Keychild	CDS
34147	SIS	sister	le xxx tu vas le xxx				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34154	SIS	sister	non				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34156	SIS	sister	xxx				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34159	SIS	sister	xxx				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34160	SIS	sister	faut pas parler				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34161	SIS	sister	je peux pas parler				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34164	SIS	sister	Tim				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34165	SIS	sister	tu dois retourner avec maman				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild	CDS
34543	SIS	sister	tiens				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34606	SIS	sister	non				Theotime/2422a.cha	1	c				Theotime	other child	Keychild	CDS
34618	SIS	sister	un lit voyons				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34619	SIS	sister	et un				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34620	SIS	sister	oui c'est parce que de c'est un peu déchiré				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34643	SIS	sister	xxx tu vas trouver tout ce qui est jaune				Theotime/2422a.cha	1	c				Theotime	other child	Keychild	CDS
34651	SIS	sister	Tim tu peux trouver?				Theotime/2422a.cha	1	c				Theotime	other child	Keychild	CDS
34682	SIS	sister	ça c'est une chaussette				Theotime/2422a.cha	1	c				Theotime	other child	Keychild	CDS
34693	SIS	sister	non				Theotime/2422a.cha	1	c				Theotime	other child	Keychild	CDS
34712	SIS	sister	déjeuner				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34724	SIS	sister	www				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34728	SIS	sister	oui				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34742	SIS	sister	tout c'qu'est là				Theotime/2422a.cha	1	c				Theotime	other child	Keychild	CDS
34754	SIS	sister	où y a le sceau dans cette image				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34755	SIS	sister	hein				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34760	SIS	sister	bravo				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34763	SIS	sister	la brouette où elle est?				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34780	SIS	sister	rateau				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild	CDS
34803	SIS	sister	il faut bien qu'on t'entend				Theotime/2422a.cha	1	c				Theotime	other child	Keychild	CDS
35844	SIS	sister	oh oh				Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
35906	SIS	sister	non				Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
35907	SIS	sister	ça c'est				Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
35908	SIS	sister	non				Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
35909	SIS	sister	ah oui			%sit  la mère de Tim parle à Ame /Theotime/252a.cha	Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
35983	SIS	sister	tu veux qu'on joue au garage?			%sit  Tim regarde sa soeur s'amuser et parler avec sa peluche 18577481922853/Theotime/252acha	Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
36095	SIS	sister	oh mais Tim regarde				Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
36176	SIS	sister	tiens				Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
36177	SIS	sister	xxx hop là				Theotime/252a.cha	1	clara				Theotime	other child	Keychild	CDS
