%mor:	conj|et adv:place|là pro:sub|il v:aux|être&PRES&3s prep|de
	det:gen|quelle&f&sg n|couleur&f det:art|le&m&sg v:aux|avoir&PRES&3s
	det:art|le$n|escargot&m ?
%mor:	co|oui=yes
%mor:	pro:sub|il v:aux|être&PRES&3s adj|jaune prep|en prep|dessous
	pro:dem|ce$v:exist|être&PRES&3s adj|vrai&m
%mor:	conj|et det:art|la&f&sg n|coquille&f pro:sub|elle
	v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg n|couleur&f ?
%mor:	n|violet&m ?
%mor:	adv|très adv|bien
%mor:	det:gen|quelle&f&sg n|couleur&f pro:sub|elle v:aux|être&PRES&3s
	det:art|la&f&sg adj|petit&f n|fille&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s part|habiller-PP&f prep|de
	det:gen|quelle&f&sg n|couleur&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|grave&m co|hein
%mor:	pro|toi&sg part|taire-PP&m v|aimer-PRES&SUB&2s det:art|le&m&sg
	n|violet&m
%mor:	det:art|le&m&sg n|reste&m pro:dem|ce$v:exist|être&PRES&3s neg|pas
	adj|important&m=important
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|le&m&sg adj|méchant&m=evil n|loup&m ?
%mor:	co|hum
%mor:	pro:int|quoi co|non=no ?
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v|raconter-PRES&SUB&2s det:art|le$n|histoire&f
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|ben n|oui&m
%mor:	pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s v|dire-PASS&PRES&3s
	v:mdl|falloir&PRES&3s v|mettre-INF adv:place|là prep|dans
	det:art|la&f&sg n|poche&f n|noir&f
%mor:	co|hoplà
%mor:	part|taire-PP&m n|mets&m det:art|la&f&sg n|main&f prep|à&le
	v|fondre-PRES&3s
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|raconter-IMP&2s pro|moi&sg det:art|le$n|histoire&f
%mor:	v|attendre-IMP&2s
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro|tous&m&pl det:poss|tes&pl n|doigt&m-PL
