%mor:	adv|alors ?|anaé pro:sub|on v:aux|être&PRES&3s det:art|le&m&sg
	num|dix num|sept n|mai&m n|deux&m n|mille&m adj|neuf&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|bientôt num|deux n|an&m-PL
	conj|et num|dix n|mois&m
%mor:	co|ouais=yes ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ton&m&sg n|anniversaire&m
	neg|pas adv|encore ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à&le n|mois&m prep|de
	n|juillet&m det:poss|ton&m&sg n|anniversaire&m
%mor:	co|ben n|si&m
%mor:	n|si&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bientôt
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v:aux|avoir&INF
	det:gen|quel&m&sg n|âge&m ?
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s adv|après det:art|le&m&sg
	n|jeu&m prep|sur det:art|le$n|ordinateur&m ?|anaé
%mor:	n|tout&m prep|à det:art|le$n|heure&f
%mor:	co|oui=yes adv|juste adv:place|après pro:sub|on v:mdl|faire-FUT&3s
	det:art|le&m&sg n|jeu&m prep|sur det:art|le$n|ordinateur&m
	pro:sub|je pro:obj|te v|promettre-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v:aux|avoir&PRES&2s part|faire-PP&m pro:dem|ce n|coloriage&m ?
%mor:	pro:int|que$v:int|est–ce prep|que pro:dem|ce$v:aux|être&PRES&3s
	prep|comme n|dessin&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui part|luire&PP&m
	pro:dem|ce n|monsieur&m ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	pro:int|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|indiana
%mor:	?|indiana
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	?|indiana
%mor:	co|oui=yes
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s
	v:poss|avoir&PP&m&sg det:art|un&m&sg n|déguisement&m adv|de
	?|indianan ?|jones ?
%mor:	adv|parce adv|que pro:dem|ce$v:exist|être&IMPF&3s pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce pro:int|qui conj|si$v:aux|être&PRES&3s
	prep|passé n|hier&m ?
%mor:	co|oui=yes n|mai&m-PL pro:int|que$v:int|est–ce pro:rel|que
	pro:dem|ce$v:aux|être&IMPF&3s n|hier&m ?
%mor:	pro:dem|ce$v:aux|être&IMPF&3s det:art|le$n|anniversaire&m
%mor:	conj|et pro:sub|il v:aux|avoir&PRES&3s v:aux|avoir&PP&m&sg
	det:gen|quel&m&sg n|âge&m ?
%mor:	co|non=no
%mor:	num|six n|an&m-PL
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s v:aux|avoir&PP&m&sg prep|comme n|cadeau&m ?
%mor:	co|oui=yes
%mor:	co|ouais=yes
%mor:	conj|et adv|puis ?
%mor:	prep|de&les n|lego&m-PL=toy
%mor:	co|ah part|taire-PP&m v:aux|être&PRES&2s prep|en n|train&m prep|de
	v|mettre-INF prep|de pro:obj|te v|mettre-INF prep|de&le n|feutre&m
	adv|partout
%mor:	prep|de&les n|lego&m-PL=toy ?
%mor:	prep|de&les n|lego&m-PL=toy prep|de pro:rel|quoi ?
%mor:	prep|de&les n|lego&m-PL=toy adj|rouge-PL ?
%mor:	adv|trop adv|bien
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|aller&INF
	det:art|les&pl v|chercher-INF pro|toi&sg det:poss|tes&pl
	n|lego&m-PL=toy prep|pour v|jouer-INF prep|à&les n|lego&m-PL=toy ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	co|hein ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas part|comprendre-PP&m
%mor:	co|oui=yes pro:sub|on det:art|le&m&sg v:mdl|faire-FUT&3s adv|après
	det:art|le&m&sg n|jeu&m prep|sur det:art|le$n|ordinateur&m
%mor:	co|non=no ?|aliyah pro:sub|elle v:mdllex|pouvoir&PRES&3s neg|pas
