%mor:	co|allez det:art|les&pl n|garçon&m-PL co|hop
%mor:	co|non=no co|non=no det:art|les&pl n|garçon&m-PL
	pro:dem|ce$v:exist|être&PRES&3s neg|pas adj|drôle
%mor:	pro:obj|vous v:mdl|aller&PRES&2p v|jouer-INF prep|dans
	det:art|la&f&sg n|cabane&f=cabin adv:place|là–haut
%mor:	conj|ou prep|dans det:art|la&f&sg n|chambre&f
%mor:	co|ah co|bon prep|par pro:rel|qui ?
%mor:	det:art|un&m&sg n|cadeau&m adv|de n|anniversaire&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	prep|pour det:art|les&pl n|travail&m&pl ?
%mor:	co|merci det:art|les&pl n|garçon&m-PL
%mor:	v|tenir-IMP&2s v|prendre-PRES&IMP&12s det:art|une&f&sg
	n|bouteille&f conj|et prep|de&les n|verre&m-PL ?|arthur conj|et
	co|allez n|boire&m det:art|un&m&sg n|coup&m=blow adv:place|dehors
%mor:	co|bonjour
%mor:	v|attendre-IMP&2s v|prendre-PRES&IMP&12s prep|de&les n|verre&m-PL
	prep|en n|plastique conj|et co|allez co|allez n|boire&m
	adv:place|dehors
%mor:	co|euh co|ben v|prendre-PRES&IMP&12s prep|de&les n|verre&m-PL
	neg|pas prep|en n|plastique
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m v:mdl|faire-IMP&2s
	prep|avec det:art|la&f&sg n|montre&f prep|de det:poss|ton&m&sg
	n|père&m pro|toi&sg ?
%mor:	co|ouais=yes
%mor:	co|ouais=yes part|taire-PP&m v|oublier-PRES&SUB&2s neg|pas
	det:art|le$n|heure&f prep|de&le n|judo&m ?|ael
%mor:	det:art|les&pl n|garçon&m-PL
%mor:	co|allez
%mor:	?|ael part|taire-PP&m v:mdl|aller&PRES&2s adv|bientôt pro:obj|te
	v|mettre-INF prep|en n|kimono&m
%mor:	n|si&m
%mor:	adv|vite adv|vite adv|vite
