%mor:	adv|mais pro:sub|elles v:aux|avoir&PRES&3p det:art|le$n|air&m=air
%mor:	part|taire-PP&m n|montre&f-PL prep|à part|taire-PP&m n|montre&f-PL
	prep|à ?|aliyah det:poss|ton&m&sg n|tracteur&m ?
%mor:	v:mdl|faire-PRES&12s prep|de&le n|vent&m=wind adv:place|là
%mor:	co|oh pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les
	n|feuille&f-PL pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les
	n|feuille&f-PL adv|partout adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|automne&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|jeter-PP&m det:art|le&m&sg
	n|tracteur&m ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|dire-PRES&PASS&12s ?
%mor:	v|réparer-INF pro:int|quoi ?
%mor:	co|ben co|oui=yes
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s on|vroumvroum adv|comme
	pro:dem|ça
%mor:	conj|et ?|anaé part|taire-PP&m v|raconter-PRES&SUB&2s prep|à
	?|aliyah adv|que part|taire-PP&m v:aux|être&PRES&2s n|allée&f prep|à
	co|la n|fête&f ?
%mor:	pro:sub|tu v:aux|être&PRES&2s n|allée&f prep|à det:art|la&f&sg
	n|fête&f ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|montrer-INF pro:int|quoi ?
%mor:	part|taire-PP&m pro:obj|le$v|emmener-PRES&SUB&2s adv:place|dehors ?
%mor:	conj|et v|attendre-PRES&12s v|regarder-PRES&SUB&13s adv|comment
	pro:sub|on part|faire-PP&m
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg n|truc&m
	prep|que pro:sub|tu v:aux|avoir&PRES&2s part|gagner-PP&m prep|à
	det:art|la&f&sg n|fête&f ?|anaé ?
%mor:	v|emmener-IMP&2s det:poss|ta&f&sg n|valise&f adv:place|dehors
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s part|taire-PP&m
	v:mdl|aller&PRES&2s v|raconter-INF prep|à ?|aliyah adv|tout
	pro:rel|ce–que part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	prep|à co|la n|fête&f
%mor:	prep|avec pro:rel|qui part|taire-PP&m n|étai&m-PL
%mor:	part|taire-PP&m n|étai&m-PL prep|avec pro:rel|qui prep|à
	det:art|la&f&sg n|fête&f ?
%mor:	?|léo conj|et ?|popy prep|sur det:art|le&m&sg
%mor:	n|pot&m=pot
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	?|léo v|emporter-PRES&SUB&13s adv|partout det:poss|son&m&sg
	n|pot&m=pot prep|avec pro:ind|lui
%mor:	conj|et adv|partout adv|aussi pro:sub|il v|emmener-IMP&2s
	n|son&m=sound
%mor:	det:poss|son&m&sg n|doudou&m=blankie pro:int|qui
	pro:refl|se$v|appeler-PRES&SUB&13s n|comment&m ?
%mor:	?|popy
%mor:	prep|pour v:mdl|faire-INF n|pipi&m=peepee pro:int|où ?|léo conj|et
	?|popy v:mdl|aller&PRES&3p pro:sub|ils pro:refl|se$v|installer-INF ?
%mor:	prep|dans det:art|la&f&sg n|cuisine&f conj|puisque n|maman&f
	pro:y|y v:aux|être&PRES&3s
%mor:	n|maman&f v:aux|avoir&PRES&3s part|finir-PP&m prep|de v|ranger-INF
	pro:sub|elle pro:refl|se$pro:y|en v:mdl|aller&PRES&3s n|mai&m-PL
	pro:int|qui det:art|la&f&sg v|suivre-PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|léo prep|avec n|son&m=sound
	adj|petit&m n|pot&m=pot conj|et ?|popy co|pardi
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
