utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee
17708	SIS	sister	ah non tu me donnes ça				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17710	SIS	sister	Ana tu me donnes				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17712	SIS	sister	tu peux pas découper ça				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17715	SIS	sister	ouais mais découpe //				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17716	SIS	sister	rends moi xxx				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17847	SIS	sister	oui c'est le tien				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17849	SIS	sister	et il remarche				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17870	SIS	sister	et voilà				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
17980	SIS	sister	voilà				Anais/247a.cha	1	clara	1	Lara		Anais	other child	Keychild
18081	SIS	sister	attends Ana je vais te chercher une une petite assiette rouge				Anais/247a.cha	1	clara				Anais	other child	Keychild
18082	SIS	sister	tu la vois làbas?				Anais/247a.cha	1	clara				Anais	other child	Keychild
18084	SIS	sister	oui cellelà				Anais/247a.cha	1	clara				Anais	other child	Keychild
18085	SIS	sister	tu las mets dedans ta tasse?				Anais/247a.cha	1	clara				Anais	other child	Keychild
18152	SIS	sister	Anais je vais chercher				Anais/247a.cha	1	g				Anais	other child	Keychild
18159	SIS	sister	tiens Ana le sachet			%com Chl n' a pas de micro /Anais/247a.cha	Anais/247a.cha	1	clara				Anais	other child	Keychild
18170	SIS	sister	tu me fais un thé?				Anais/247a.cha	1	clara				Anais	other child	Keychild
18193	SIS	sister	Barbie				Anais/247a.cha	1	g				Anais	other child	Keychild
18319	SIS	sister	mince elle est ou l'assiette?				Anais/247a.cha	1	g				Anais	other child	Keychild
18346	SIS	sister	mais c'etait pas le mien				Anais/247a.cha	1	g				Anais	other child	Keychild
18699	SIS	sister	tu veux que j'aille chercher ton bébé Ana?				Anais/247b.cha	1	clara				Anais	other child	Keychild
18701	SIS	sister	je vais aller chercher d'abord  ton tablier				Anais/247b.cha	1	clara				Anais	other child	Keychild
18715	SIS	sister	les tasses comme ça?				Anais/247b.cha	1	clara				Anais	other child	Keychild
18717	SIS	sister	ah oui				Anais/247b.cha	1	clara				Anais	other child	Keychild
18719	SIS	sister	tiens Ana				Anais/247b.cha	1	clara				Anais	other child	Keychild
18721	SIS	sister	ton bébé				Anais/247b.cha	1	clara				Anais	other child	Keychild
18723	SIS	sister	avec le chapeau			%com passage non transcrit de Chl 31645332648/Anais/247b.cha	Anais/247b.cha	1	clara				Anais	other child	Keychild
18724	SIS	sister	xxx				Anais/247b.cha	1	L				Anais	other child	Keychild
18725	SIS	sister	xxx				Anais/247b.cha	1	L				Anais	other child	Keychild
18726	SIS	sister	le tablier				Anais/247b.cha	1	L				Anais	other child	Keychild
18731	SIS	sister	Encore un habit				Anais/247b.cha	1	L				Anais	other child	Keychild
18735	SIS	sister	tiens Ana				Anais/247b.cha	1	clara				Anais	other child	Keychild
