annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
881	392	2415	16405	885	Mololo	4;5.0	NA	Cousin	Cousin	Child	default	Mother	881	emilie		881	881	Katherine			mme	Sesotho	mme	mother(1a,2a)	mme	2656101	n	2.916.956	2.917.655	2.916.956	2.917.655	Sesotho	MOL	sme	u23	NA	1610	NA	Cousin	16405	48	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
881	409	2415	16406	889	Ntsoaki	8;0.0	NA	Cousin	Cousin	Child	default	The pumpkin refuses to be smashed	881	emilie							mokopu ohana hopshatleha	Sesotho	mo-kopu o-han-a ho-pshatl-eh-a	3-pumpkin(3,4) sm3-t^p_refuse-m^in if-smash-nt-m^in	mokopu ohana hopshatleha	2656118	pfx-n pfx-v-sfx pfx-v-sfx-sfx	2975	2.977.704	2975	2.977.704	Sesotho	NSK	sme	u40	NA	2920	NA	Cousin	16406	49	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
881	472	2415	16406	889	Ntsoaki	8;0.0	NA	Cousin	Cousin	Child	default	He says A wool blanket	881	emilie							ore shepa	Sesotho	o-r-e shepa	sm1-t^p_say-m^in wool_blanket(9,10)	ore shepa	2656181	pfx-v-sfx n	3.148.415	3.150.674	3.148.415	3.150.674	Sesotho	NSK	sme	u103	NA	2920	NA	Cousin	16406	52	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
881	477	2415	16406	889	Ntsoaki	8;0.0	NA	Cousin	Cousin	Child	default	I am coming to see first if it will cover	881	emilie							kesatlilobona pele hore na setlakwahela	Sesotho	ke-sa-tlilo-bon-a pele hore na se-tla-kwahel-a	sm1s-t^sa-t^f2-see-m^in av cm q sm7-t^f1-cover-m^in	kesatlilobona pele hore na setlakwahela	2656186	pfx-pfx-pfx-v-sfx av cm q pfx-pfx-v-sfx	3.176.975	3.181.913	3.176.975	3.181.913	Sesotho	NSK	sme	u108	NA	2920	NA	Cousin	16406	52	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
881	479	2415	16406	889	Ntsoaki	8;0.0	NA	Cousin	Cousin	Child	question	It is hard over there	881	emilie							othata mane	Sesotho	o-thata mane	3-aj loc	othata mane	2656188	pfx-aj loc	3.181.913	3.194.656	3.181.913	3.194.656	Sesotho	NSK	sme	u110	NA	2920	NA	Cousin	16406	53	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
A	497	2415	16405	885	Mololo	4;5.0	NA	Cousin	Cousin	Child	default	Yes it is that one over there	A	emilie							e ke yane	Sesotho	e ke yane	ij cp 9	e ke yane	2656206	ij cop d	3502	3.503.928	3502	3.503.928	Sesotho	MOL	sme	u128	NA	1610	NA	Cousin	16405	58	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Adult	ADS
881	535	2415	16405	885	Mololo	4;5.0	NA	Cousin	Cousin	Child	question	What ?	881	emilie							e	Sesotho	e	wh	e	2656244	wh	3851.3	3.852.174	3851.3	3.852.174	Sesotho	MOL	sme	u166	NA	1610	NA	Cousin	16405	64	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
884	688	2415	16405	885	Mololo	4;5.0	NA	Cousin	Cousin	Child	default	I am coming from shitting	884	emilie							ketswakaka	Sesotho	ke-tswa-kak-a	sm1s-t^ts-shit-m^in	ketswakaka	2656397	pfx-pfx-v-sfx	4539.5	4.543.183	4539.5	4.543.183	Sesotho	MOL	sme	u319	NA	1610	NA	Cousin	16405	75	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Mother	ADS
881	719	2415	16405	885	Mololo	4;5.0	NA	Cousin	Cousin	Child	question	What ?	881	emilie							e	Sesotho	e	wh	e	2656428	wh	4.676.075	4.677.568	4.676.075	4.677.568	Sesotho	MOL	sme	u350	NA	1610	NA	Cousin	16405	77	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
881	721	2415	16405	885	Mololo	4;5.0	NA	Cousin	Cousin	Child	question	Where will I sit ?	881	emilie							nna ketladula kae	Sesotho	nna ke-tla-dul-a kae	1s sm1s-t^f1-sit-m^in wh	nna ketladula kae	2656430	pn pfx-pfx-v-sfx wh	4678.8	4.681.534	4678.8	4.681.534	Sesotho	MOL	sme	u352	NA	1610	NA	Cousin	16405	77	1_94.55	020100ab.cha	Hlobohang	Hlobohang-020100ab.cha	child	Grandmother	ADS
