utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
10223	MOT	mother	< alors Anaé on est le dix sept mai deux mille neuf .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10224	MOT	mother	tu as bientôt deux ans et dix mois .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10225	MOT	mother	ouais ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10227	MOT	mother	c'est ton anniversaire pas encore ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10228	MOT	mother	c'est au mois de juillet ton anniversaire .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10230	MOT	mother	ben si .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10232	MOT	mother	si .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10234	MOT	mother	c'est bientôt .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10235	MOT	mother	tu vas avoir quel âge ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10237	MOT	mother	< non c'est après le jeu sur l'ordinateur Anaé .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10239	MOT	mother	< tout à l'heure .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10241	MOT	mother	< oui juste après on fera le jeu sur l'ordinateur je te promets .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10242	MOT	mother	c'est toi qui as fait ce coloriage ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10243	MOT	mother	qu'est-ce que c'est comme dessin ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10244	MOT	mother	c'est qui lui ce monsieur ?	%xpnt show avec l'index le dessin		%xpnt show avec l'index le dessin 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10245	MOT	mother	tu sais ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10247	MOT	mother	qui ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10249	MOT	mother	c'est In(diana) ...	com MOT fournit l'ébauche du mot à CHI		com MOT fournit l'ébauche du mot à CHI 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10251	MOT	mother	In(diana) .	com MOT décompose le mot en syllabes afin que CHI le complète		com MOT décompose le mot en syllabes afin que CHI le complète 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10252	MOT	mother	tu sais ?	%act MOT essuie le nez de CHI		%act MOT essuie le nez de CHI 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10253	MOT	mother	Indiana ...			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10255	MOT	mother	< oui .			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10256	MOT	mother	qui est-ce qui a eu un déguisement d' Indianan Jones ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10258	MOT	mother	parce que c'était quoi ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
10259	MOT	mother	qu'est-ce qui s'est passé hier ?			 	Anae/2923.cha	1	clara						Anae	mother	Keychild
