%mor:	co|ouais=yes
%mor:	part|taire-PP&m pro:sub|tu v:aux|avoir&PRES&2s det:art|un&m&sg
	det:art|un&m&sg n|truc&m prep|à v:mdl|aller&INF v|chercher-INF
	prep|à det:art|la&f&sg n|poste
%mor:	co|euh n|demain&m
%mor:	det:art|un&m&sg ?|ptit n|peu&m
%mor:	n|internet&m adv|alors
%mor:	co|ta co|ta n|filleul&f pro:int|qui part|faire-PP&m det:art|un&m&sg
	n|gâteau&m
%mor:	pro:int|que$v:int|est–ce part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	co|bah co|non=no
%mor:	pro:sub|je$v:mdllex|aller&FUT&1s pro:obj|le v|chercher-INF
