utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee
32162	SIS	sister	tu es timide?				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32163	SIS	sister	moi je suis pas timide avec les gens			%sit  Tim se rassoie sur la chaise et tire le paquet de gâteaux à lui /Theotime/239b.cha	Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32169	SIS	sister	c'est c'est maman?				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32194	SIS	sister	oh tu prends tu //				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32195	SIS	sister	tu en prends tout hein				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32196	SIS	sister	si tu veux on www échange				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32197	SIS	sister	je vais te donner un gâteau				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32199	SIS	sister	donne				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32205	SIS	sister	moi je veux pas des miettes hein				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32236	SIS	sister	non				Theotime/239b.cha	1	clara	1	Lara		Theotime	other child	Keychild
32757	SIS	sister	Tim tu veux que je t'accroche ton train?				Theotime/2324a.cha	1	clara	1	Lara		Theotime	other child	Keychild
32772	SIS	sister	xxx Tim xxx				Theotime/2324a.cha	1	clara	1	Lara		Theotime	other child	Keychild
34147	SIS	sister	le xxx tu vas le xxx				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34154	SIS	sister	non				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34156	SIS	sister	xxx				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34159	SIS	sister	xxx				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34160	SIS	sister	faut pas parler				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34161	SIS	sister	je peux pas parler				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34164	SIS	sister	Tim				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34165	SIS	sister	tu dois retourner avec maman				Theotime/2324b.cha	1	clara				Theotime	other child	Keychild
34543	SIS	sister	tiens				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34606	SIS	sister	non				Theotime/2422a.cha	1	c				Theotime	other child	Keychild
34618	SIS	sister	un lit voyons				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34619	SIS	sister	et un				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34620	SIS	sister	oui c'est parce que de c'est un peu déchiré				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
