utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
31890	MOT	mother	bon allez Ame			%sit  Tim prend la station service du garage 44524897/Theotime/239b.cha	Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child	OCDS
31891	MOT	mother	j'arrive deux secondes			%sit  Mot se lève et quitte la pièce avec Ame 489754825/Theotime/239b.cha	Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child	OCDS
31903	MOT	mother	xxx ok ? 				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
31904	MOT	mother	xxx				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
31906	MOT	mother	c'est pas de la colle				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
31908	MOT	mother	tu veux faire quoi ? non non tu joues pas avec la colle nanuou				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
31909	MOT	mother	tiens				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
31935	MOT	mother	eh beh oui ça c'était sûr				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
31975	MOT	mother	oui ben je pose pas à toi				Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child	OCDS
32078	MOT	mother	ouais				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
32081	MOT	mother	chutchutchut				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
32172	MOT	mother	chut chut chut Ame				Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child	OCDS
32198	MOT	mother	chut Ame tais-toi				Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child	OCDS
32285	MOT	mother	xxx elles sont là-bas 				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
32288	MOT	mother	xxx				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
32665	MOT	mother	qui c'est ça ? xxx				Theotime/239b.cha	SIS	c				Theotime	mother	Other child	OCDS
32726	MOT	mother	c'est mon www anniversaire www?				Theotime/239b.cha	SIS	clara		Lara		Theotime	mother	Other child	OCDS
32727	MOT	mother	oh merci			%sit  Mot prend le gâteau dans ses mains /Theotime/239b.cha	Theotime/239b.cha	SIS	clara		Lara		Theotime	mother	Other child	OCDS
32759	MOT	mother	xxx				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32761	MOT	mother	après t'iras choisir tes chaussettes toi				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32763	MOT	mother	xxx				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32764	MOT	mother	Amé			%sit  le son ne marche pas correctement ici discussion entre Amé et sa mère 322317713/Theotime/2324a.cha	Theotime/2324a.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child	OCDS
32765	MOT	mother	bon ça va				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32777	MOT	mother	toi Ame tu dessines ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32779	MOT	mother	tu veux faire quoi ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32780	MOT	mother	oui mais après 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32782	MOT	mother	je te sors des feuilles ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32785	MOT	mother	oui mais tu vas choisir ta cassette après				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32891	MOT	mother	d'accord j'arrive				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32897	MOT	mother	tu veux que je le mette au début ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32899	MOT	mother	c'est pas le début ça hein 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32900	MOT	mother	tu me diras quand ça aura fini				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32902	MOT	mother	quand ça aura fini xxx quand t'entendras tu appuieras là-dessus				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32904	MOT	mother	en direction de xxx sur la flèche  				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32906	MOT	mother	oui quand t'auras entendu que ça a fini de rembobiner				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32952	MOT	mother	bah appuie sur la flèche				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32965	MOT	mother	oui				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32966	MOT	mother	c'est bon Ame t'appuies sur la flèche bon sang !				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32967	MOT	mother	tu sais pas faire ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32968	MOT	mother	je t'ai dit t'appuies sur la flèche 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32969	MOT	mother	alors				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32971	MOT	mother	eh ben				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32973	MOT	mother	eh ben voilà ! 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32975	MOT	mother	jtai dit de faire 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32977	MOT	mother	ça va				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32978	MOT	mother	ça va commencer				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32979	MOT	mother	on va avancer un peu plus vite si tu veux				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
32981	MOT	mother	on met xxx plus loin voilà				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child	OCDS
34163	MOT	mother	Ame				Theotime/2324b.cha	SIS	c				Theotime	mother	Other child	OCDS
34168	MOT	mother	il va dire non				Theotime/2324b.cha	SIS	clara				Theotime	mother	Other child	OCDS
34506	MOT	mother	chut				Theotime/2422a.cha	SIS	clara				Theotime	mother	Other child	OCDS
34507	MOT	mother	te mets pas devant				Theotime/2422a.cha	SIS	clara				Theotime	mother	Other child	OCDS
