annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	34817	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	default	Hey Litlhare	1	emilie							helang Litlhare	Sesotho	helang Litlhare	ij a_name	helang Litlhare	2690526	ij ???	60	63.223	60	63.223	Sesotho	MMS	sme	u0	NA	NA	NA	Mother	16835	1	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34819	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	question	When will we eat fat cakes?	1	emilie							makwenya retlaaja neng	Sesotho	ma-kwenya re-tla-a-j-a neng	6-fatcakes(5,6) sm1p-t^f1-om6-eat-m^in wh	makwenya retlaaja neng	2690528	pfx-n pfx-pfx-pfx-v-sfx wh	63.5	65.511	63.5	65.511	Sesotho	MMS	sme	u2	NA	NA	NA	Mother	16835	1	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34820	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	default	Sister	1	emilie							ausi ye	Sesotho	ausi ye	sister(1a,2a) ij	ausi ye	2690529	n ij	154	156.217	154	156.217	Sesotho	MMS	sme	u3	NA	NA	NA	Mother	16835	2	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34822	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	default	Bring so that I see fat cakes	1	emilie							tlisa ketlobona makwenya	Sesotho	tl-is-a ke-tlo-bon-a ma-kwenya	come-c-m^i sm1s-t^f2-see-m^pt 6-fatcakes(5,6)	tlisa ketlobona makwenya	2690531	v-sfx-sfx pfx-pfx-v-sfx pfx-n	156.632	158.643	156.632	158.643	Sesotho	MMS	sme	u5	NA	NA	NA	Mother	16835	2	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34825	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	question	How are they?	1	emilie							a jwang	Sesotho	a jwang	cp6 wh	a jwang	2690534	cop wh	165.4	167.191	165.4	167.191	Sesotho	MMS	sme	u8	NA	NA	NA	Mother	16835	2	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34826	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	question	May I eat one?	1	emilie							keje leleng	Sesotho	ke-j-e le-le-ng	sm1s-t^p_eat-m^s 5-5-wh	keje leleng	2690535	pfx-v-sfx pfx-pfx-pfx	167.191	173.603	167.191	173.603	Sesotho	MMS	sme	u9	NA	NA	NA	Mother	16835	2	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34828	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	default	They are there	1	emilie							ke ane	Sesotho	ke ane	cp 6	ke ane	2690537	cop d	177.264	178.155	177.264	178.155	Sesotho	MMS	sme	u11	NA	NA	NA	Mother	16835	2	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34830	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	default	Eat one eat this one	1	emilie							jaa le leleng jaa lena	Sesotho	jaa le le-le-ng jaa lena	eat/m^i cj 5-5-aj eat/m^i 5	jaa le leleng jaa lena	2690539	v cj pfx-pfx-aj v d	180.469	183.026	180.469	183.026	Sesotho	MMS	sme	u13	NA	NA	NA	Mother	16835	3	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34831	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	default	Alright I cover it	1	emilie							eke kelekwaele	Sesotho	eke ke-le-kwa-el-e	ij sm1s-om5-shut-t^pf-m^in	eke kelekwaele	2690540	ij pfx-pfx-v-sfx-sfx	183.026	187.411	183.026	187.411	Sesotho	MMS	sme	u14	NA	NA	NA	Mother	16835	3	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
1	34833	2477	16835	930	Masebina	NA	Female	Mother	Mother	Adult	default	Take then	1	emilie							nka he	Sesotho	nk-a he	take-m^i ij	nka he	2690542	v-sfx ij	188.147	190.673	188.147	190.673	Sesotho	MMS	sme	u16	NA	NA	NA	Mother	16835	3	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	mother	Keychild	CDS
