%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|prendre-PP&m ?|nounette ?
%mor:	pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	det:art|un&m&sg n|livre ?
%mor:	det:art|un&m&sg n|livre prep|de pro:rel|quoi ?
%mor:	prep|de pro:rel|quoi ?
%mor:	prep|de ?|barbie
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v|lire-INF ?
%mor:	part|taire-PP&m v|sauter-PRES&SUB&2s adv|toujours ?
%mor:	part|taire-PP&m v|sauter-PRES&SUB&2s adv|comme pro:dem|ça conj|et
	part|taire-PP&m n|danse&f-PL ?
%mor:	conj|et part|taire-PP&m v:mdl|aller&PRES&2s v|tomber-INF
%mor:	co|attention prep|à det:art|la&f&sg n|caméra&f
%mor:	co|ben co|oui=yes part|tomber-PP&m
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdllex|faire-IMP&2s ?
%mor:	co|non=no n|laisse&f co|la
%mor:	pro:dem|ça pro:obj|me v|géner-PRES&SUB&13s=to_block pro:dem|ce
	n|truc&m
%mor:	co|oui=yes
%mor:	pro:sub|je$v:aux|avoir&PRES&1s n|rien&m part|comprendre-PP&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|tomber-PP&f adv:place|là ?
%mor:	conj|et part|taire-PP&m pro:sub|tu$v:aux|être&PRES&2s
	part|faire-PP&m adv|mal ?
%mor:	co|ah pro:sub|ils v:mdl|faire-PRES&3p n|dodo&m=sleep det:art|les&pl
	n|cheval&m&pl ?
%mor:	co|ah adv|d'accord
%mor:	part|taire-PP&m n|marche&f-PL prep|sur det:poss|ton&m&sg n|livre
	adv|mais part|taire-PP&m v:mdl|aller&PRES&2s
	pro:obj|le$v|abîmer-INF=deteriorate ?
%mor:	co|ben n|si&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m
%mor:	det:art|une&f&sg n|fille&f
%mor:	conj|et adv|encore det:art|une&f&sg n|fille&f
%mor:	co|oui=yes ?|qu'estce prep|que pro:sub|tu v:mdl|vouloir&IMP&2s
	v:mdllex|faire-INF ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s v:mdl|faire-INF prep|de
	det:art|la&f&sg n|+n|pâte+prep|à+n|modeler&f=modeling_clay
	n|minette&f ?
%mor:	pro:dem|ça pro:obj|te part|dire-PP&m ?
%mor:	n|comment&m pro:dem|ça co|aïe ?
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s n|bobo&m=ouchie ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adj|mal&m&sg prep|à
	det:poss|ton&m&sg n|ventre&m ?
%mor:	prep|à det:poss|ton&m&sg n|ventre&m adv:place|là ?
%mor:	co|oh pro:dem|ce n|bidon&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|bobo&m=ouchie ?
%mor:	pro:dem|ça pro:obj|te v:mdl|faire-PRES&12s adv|mal ?
%mor:	pro:sub|on pro:obj|le$v:poss|avoir&PRES&3s pro:sub|on
	pro:obj|le$v:poss|avoir&PRES&3s part|voir&PP&m det:poss|ton&m&sg
	n|ventre&m
%mor:	det:poss|ton&m&sg n|ventre&m ?
%mor:	conj|et adv|alors pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|il v:mdl|falloir&PRES&3s v:mdllex|faire-INF ?
%mor:	co|oui=yes v|cacher-IMP&2s det:art|le&m&sg
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	co|ah part|taire-PP&m v:aux|avoir&PRES&2s part|mettre-PP&m ?|amtaro
%mor:	prep|de pro:rel|quoi ?
%mor:	co|oh
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|non=no
	pro:dem|ce$v:exist|être&PRES&3s neg|pas conj|pour
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&le adj|rouge
