"utterance_id" "speaker_id" "speaker_role_raw" "utterance" "Comment" "X" "Comments" "session_id" "annotation1" "annotator_name1" "annotator1_comment" "annotation2" "annotator_name2" "annotator2_comment" "Diff_annotations" "keychild" "speaker" "role_adressee" "register"
3 "OBS" "Investigator" "on est le vingt neuf août deux mille huit et Anaé a deux ans et un mois ." "" "" " " "Anae/215.cha" "SELF" "clara" "" "" "" "" "" "Anae" "investigator" "Self" "unclassified"
12 "MOT" "mother" "< à quoi tu joues Anaé ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
13 "MOT" "mother" "qu'est-ce que c'est ça ?" "%sit CHI ramasse sa poupée et se relève" "" "%sit CHI ramasse sa poupée et se relève " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
15 "MOT" "mother" "non mais ça parterre ." "%xpnt show le dinosaure de l'index droit" "" "%xpnt show le dinosaure de l'index droit " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
16 "MOT" "mother" "qu'est-ce que c'est ?" "%sit CHI regarde MOT puis le dinosaure" "" "%sit CHI regarde MOT puis le dinosaure " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
18 "MOT" "mother" "et qui est-ce qui te l'a donné ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
19 "MOT" "mother" "qui est-ce qui te l'a donné ce dinosaure ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
21 "MOT" "mother" "il l'a ramené d'où ?" "%sit CHI balance sa poupée et la lâche" "" "%sit CHI balance sa poupée et la lâche " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
22 "MOT" "mother" "tu sais ?" "%act MOT regarde CHI %sit CHI regarde sa poupée tombée dans le bas du meuble" "" "%act MOT regarde CHI %sit CHI regarde sa poupée tombée dans le bas du meuble " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
24 "MOT" "mother" "oh [/] oh ." "ximi MOT imite CHI" "" "ximi MOT imite CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
25 "MOT" "mother" "alors la poupée ." "%act MOT se lève du fauteuil" "" "%act MOT se lève du fauteuil " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
28 "OBS" "Investigator" "elle est au fond la poupée ?" "%sit CHI perd l'équilibre et se retrouve assise" "" "%sit CHI perd l'équilibre et se retrouve assise " "Anae/215.cha" "1" "g" "" "" "" "" "" "Anae" "investigator" "Keychild" "CDS"
30 "OBS" "Investigator" "< tu la prends ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "investigator" "Keychild" "CDS"
