annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	22126	2457	16694	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	question	Where does it come from ?	1	emilie		1	1	clara			etswa kae	Sesotho	e-tsw-a kae	sm9-t^p_come_from-m^in wh	etswa kae	2677835	pfx-v-sfx wh	1601.81	1603.78	1601.81	1603.78	Sesotho	MEM	sme	u242	NA	NA	NA	Grandmother	16694	26	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22128	2457	16694	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	Truly	1	emilie		1	1	clara			kannete	Sesotho	kannete	av	kannete	2677837	av	1605.8	1.607.115	1605.8	1.607.115	Sesotho	MEM	sme	u244	NA	NA	NA	Grandmother	16694	26	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22130	2457	16694	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	What is this thing ?	1	emilie		1	1	clara			ke eng yona ntho ee	Sesotho	ke eng yona ntho ee	cp wh 9 thing(9,10) 9	ke eng yona ntho ee	2677839	cop wh pn n d	1607.6	1.608.919	1607.6	1.608.919	Sesotho	MEM	sme	u246	NA	NA	NA	Grandmother	16694	26	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22132	2457	16694	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	What did it contain ?	1	emilie		1	1	clara			enetSetseng	Sesotho	e-n-e-tSets-e-ng	sm9-t^ne-sm9-pour/t^pf-m^pt-lc	enetSetseng	2677841	pfx-pfx-pfx-v-sfx-sfx	1611.8	1.613.212	1611.8	1.613.212	Sesotho	MEM	sme	u248	NA	NA	NA	Grandmother	16694	26	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22134	2457	16694	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	question	Baking powder	1	emilie		1	1	clara			bakingpowder	Sesotho	bakingpowder	???	bakingpowder	2677843	none	1.613.212	1.619.394	1.613.212	1.619.394	Sesotho	MEM	sme	u250	NA	NA	NA	Grandmother	16694	26	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22136	2457	16694	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	exclamation	Wow !	1	emilie		1	1	clara			hele	Sesotho	hele	ij	hele	2677845	ij	1620.1	1.622.035	1620.1	1.622.035	Sesotho	MEM	sme	u252	NA	NA	NA	Grandmother	16694	27	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22139	2457	16694	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	Baking powder	1	emilie		1	1	clara			bakingpowder	Sesotho	bakingpowder	???	bakingpowder	2677848	none	1.634.827	1637.2	1.634.827	1637.2	Sesotho	MEM	sme	u255	NA	NA	NA	Grandmother	16694	27	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22140	2457	16693	894	Kabelo	NA	Male	Uncle	Uncle	Adult	default	Do this elephant	1	emilie		1	1	clara			etsa tlou ena	Sesotho	ets-a tlou ena	do-m^i elephant(9,10) 9	etsa tlou ena	2677849	v-sfx n d	1648	1651.01	1648	1651.01	Sesotho	KAB	sme	u256	NA	NA	NA	Uncle	16693	27	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22141	2457	16693	894	Kabelo	NA	Male	Uncle	Uncle	Adult	default	Do then	1	emilie		1	1	clara			etsa he	Sesotho	ets-a he	do-m^i ij	etsa he	2677850	v-sfx ij	1688	1.690.515	1688	1.690.515	Sesotho	KAB	sme	u257	NA	NA	NA	Uncle	16693	28	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
1	22142	2457	16693	894	Kabelo	NA	Male	Uncle	Uncle	Adult	default	I don't want when Mololo do before you	1	emilie		1	1	clara			ha kebatle ha Mololo aetsa pele ho wena	Sesotho	ha ke-batl-e ha Mololo a-ets-a pele ho wena	ng sm1s-t^p_want-m^s cd a_name sm1-t^p_do-m^in av pr 2s	ha kebatle ha Mololo aetsa pele ho wena	2677851	ng pfx-v-sfx cd ??? pfx-v-sfx av pr pn	1689.9	1.692.759	1689.9	1.692.759	Sesotho	KAB	sme	u258	NA	NA	NA	Uncle	16693	28	23_95.13	030000cd.cha	Hlobohang	Hlobohang-030000cd.cha	adult	Keychild	CDS
