utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
33543	MOT	mother	c'est très facile?				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33545	MOT	mother	ah c'est pas facile				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33546	MOT	mother	non				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33547	MOT	mother	plutôt				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33548	MOT	mother	pour enlever			%sit  la mère de Tim prend la voiture elle enlève une roue et la montre à Tim 15655196/Theotime/2324b.cha	Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33550	MOT	mother	www				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33553	MOT	mother	tu veux +				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33554	MOT	mother	bah vas y				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33557	MOT	mother	oh si tu es fort				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33559	MOT	mother	regarde				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33560	MOT	mother	euh force force			%sit  Tim tire sur la roue 332273417/Theotime/2324b.cha	Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33562	MOT	mother	www				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33565	MOT	mother	www ils s'en foutent ça les voisins				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33566	MOT	mother	que tu xxx				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33568	MOT	mother	fais voir			%sit  elle prend la voiture 473424972/Theotime/2324b.cha	Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33569	MOT	mother	regarde				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33570	MOT	mother	xxx ça			%sit  elle enlève la roue 512152748/Theotime/2324b.cha	Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33572	MOT	mother	tu les remets après				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33573	MOT	mother	d'accord?				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33575	MOT	mother	on peut en mettre une comme ça				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33576	MOT	mother	fais voir				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33577	MOT	mother	attends			%act  elle fait une construction avec la voiture Tim regarde/Theotime/2324b.cha	Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33578	MOT	mother	j'ai jamais essayé comme ça				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33580	MOT	mother	regarde				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33581	MOT	mother	tu as vu?				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
33582	MOT	mother	ça roule aussi comme ça				Theotime/2324b.cha	1	clara						Theotime	mother	Keychild
