%mor:	det:art|un&m&sg n|deux&m n|trois&m
%mor:	v|tenir-IMP&2s pro:dem|ça pro:refl|se re#v|mettre-PRES&3s prep|en
	n|route&f pro:dem|ça n|tout&m adv|seul
%mor:	pro:int|où ?|estce pro:rel|que$pro:sub|il v:aux|être&PRES&3s ?
%mor:	co|ah
%mor:	co|voilà pro:sub|on v:mdl|aller&PRES&3s pro:obj|le$v|éteindre-INF
%mor:	part|taire-PP&m v|construire-IMP&2s det:art|la&f&sg n|voiture&f ?
%mor:	v|tenir-IMP&2s n|tout&m prep|à det:art|le$n|heure&f
	pro:sub|je$v:aux|avoir&IMPF&12s part|trouver-PP&m det:art|un&m&sg
	n|morceau&m prep|de det:art|la&f&sg n|voiture&f
%mor:	pro:int|où ?|estce pro:rel|que$pro:sub|elle v:aux|être&PRES&3s ?
%mor:	pro:int|où ?|estce pro:rel|que$pro:sub|il v:aux|être&IMPF&3s ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s prep|plus pro:rel|où pro:sub|je
	pro:sub|il$v:aux|avoir&PRES&1s part|ranger-PP&m
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:y|y v:aux|avoir&IMPF&3s
	det:art|un&m&sg adj|petit&m n|morceau&m prep|par adv:place|là
%mor:	co|bon co|ben n|tien&m-PL pro:sub|tu v:mdl|pouvoir&COND&12s
	v|balayer-INF adv|aussi
%mor:	co|oh
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	v|tenir-IMP&2s det:art|les&pl n|voiture&f-PL prep|de prep|de&le
	n|garage&m
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF det:art|les&pl
	v|mettre-INF ?|làbas
%mor:	pro:sub|ils v:aux|avoir&PRES&3p part|faire-PP&m det:art|le&m&sg
	n|sapin&m ?
%mor:	part|taire-PP&m n|demande&f-PL
%mor:	?|estce pro:rel|que$pro:sub|ils v:aux|avoir&PRES&3p part|faire-PP&m
	det:art|le&m&sg n|sapin&m pro|eux&m&pl ?
%mor:	co|oui=yes ?
%mor:	adv|mais pro:obj|nous pro:sub|on v:aux|être&PRES&3s prep|en
	n|retard&m adv|alors
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v:mdllex|faire-INF
	n|demain&m
%mor:	?|qu'estce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|faire-INF adv|aujourd'hui ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF ?
%mor:	?|qu'estce prep|que pro:sub|je$v:poss|avoir&PRES&1s part|dire-PP&m
	n|tout&m prep|à det:art|le$n|heure&f ?
%mor:	det:art|la&f&sg n|crèche&f
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s det:dem|ce&m&sg pro:rel|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|crèche&f ?
%mor:	part|taire-PP&m pro:obj|te$pro:y|en v|rappeler-PRES&SUB&2s ?
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s prep|de
	det:art|la&f&sg n|crèche&f det:art|le$n|année&f n|dernier&f ?
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas prep|sur adv|que
	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s adv|bien
%mor:	co|oui=yes
%mor:	adv|d'accord
%mor:	conj|et prep|pour v|allumer-INF pro:sub|il v:mdl|falloir&PRES&3s
	v|appuyer-INF prep|sur pro:int|lequel&m&sg ?
%mor:	adv|d'accord
%mor:	co|ah pro:sub|il v:aux|être&PRES&3s n|bien&m det:poss|ton&m&sg
	n|téléphone&m=telephone co|hein
%mor:	pro:sub|je v:aux|être&PRES&1s prep|sur pro:rel|que$pro:sub|il
	n|marche&f prep|à&le n|moins&m adv|aussi n|bien&m adv|que
	pro:dem|celui&m&sg prep|de n|maman&f
%mor:	n|écoute&f
%mor:	pro:sub|on v|entendre-PRES&3s det:art|la&f&sg n|mer&f=sea
%mor:	part|taire-PP&m v|entendre-IMP&2s
%mor:	pro:sub|on v|entendre-PRES&3s det:art|la&f&sg n|mer&f=sea ?
%mor:	co|non=no ?
%mor:	co|oh
%mor:	?|qu'estce pro:rel|que$pro:sub|elle part|faire-PP&m det:art|la&f&sg
	n|girafe&f ?
%mor:	pro:sub|elle part|faire-PP&m prep|de det:art|la&f&sg n|musique&f
%mor:	?|cellelà
%mor:	co|ouais=yes
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|beau&f&sg=pretty co|hein
%mor:	conj|et pro:sub|on v:mdl|pouvoir&COND&3s neg|pas v|mettre-INF
	det:art|un&m&sg adj|petit&m n|bonhomme&m adv:place|dedans ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg
	n|conducteur&m ?
%mor:	co|ohlàlà det:poss|mon&m&sg n|dieu&m
%mor:	pro:sub|il v:aux|être&PRES&3s adv|tout
%mor:	?|estce pro:rel|que$pro:sub|il v|rentrer-PRES&SUB&13s
	det:art|le&m&sg n|singe&m ?
%mor:	pro:sub|on v:mdl|pouvoir&COND&3s ?|peutêtre v|mettre-INF
	det:art|le&m&sg n|singe&m adv:place|dedans
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:dem|ça v:mdl|pouvoir&COND&3s v:aux|être&INF n|rigolo&m
%mor:	co|oh
%mor:	det:art|la&f&sg n|pelle&f n|mécanique&f adj|folle&f=crazy prep|avec
	det:art|un&m&sg n|singe&m prep|à det:art|le$n|intérieur&m
%mor:	co|ah co|oui=yes
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s adv|trop adj|gros&m
	pro:dem|ça
%mor:	n|si&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|trop adj|gros&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peu&m adj|gros&m
%mor:	co|ouais=yes
%mor:	pro:sub|il v:mdl|devoir&PRES&3s pro:sub|il pro:y|y pro:y|en
	v:aux|avoir&INF prep|de&les adv|plus adj|petit&m-PL co|non=no
%mor:	prep|de&les adj|petit&m-PL n|bonhomme&m-PL
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas ?
%mor:	adv|mais pro:sub|je pro:dem|ça v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|un&m&sg n|bruit&m neg|pas n|possible&m adv|si pro:sub|je
%mor:	adv:place|là n|regard&m
%mor:	co|ouais=yes
%mor:	pro:sub|je v|croire&PRES&12s adv|que pro:sub|je
	pro:obj|le$v:poss|avoir&PRES&1s part|trouver-PP&m pro:dem|ça
	v:mdl|devoir&PRES&3s v:aux|être&INF part|luire&PP&m pro:dem|ça
	co|non=no ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v:mdllex|faire-INF
	prep|en adv|tout n|cas&m
%mor:	co|ouais=yes
%mor:	v|regarder-IMP&2s
%mor:	co|ah pro:sub|il n|conduit&m prep|dans det:art|le$pro|autre&sg
	n|sens&m ?
%mor:	adv|mais v|regarder-PRES&SUB&13s adv:place|là pro:sub|on
	v|dire-COND&3s adv|que pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	n|devant&m adv:place|là
%mor:	n|remarque&f pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|pelle&f
	n|mécanique&f-PL pro:dem|ce$v:exist|être&PRES&3s adj|vrai&m adv|que
	pro:dem|ça v:mdl|aller&PRES&3s prep|dans det:art|les&pl num|deux
	n|sens&m co|hein
%mor:	adv|mais adv|enfin
%mor:	adv|alors
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|il v|transporter-PRES&SUB&13s det:art|une&f&sg n|valise&f
%mor:	pro:sub|il part|faire-PP&m det:art|les&pl n|travail&m&pl
%mor:	co|oh co|euh det:gen|quelque n|chose=thing prep|de adv|plus
	adj|gros&m
%mor:	co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	pro:dem|ça adv:place|là v|regarder-PRES&SUB&13s
%mor:	pro:dem|ça v:mdl|aller&PRES&3s n|bien&m adv:place|dedans
	v|regarder-PRES&SUB&13s
%mor:	co|hop
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|bateau&m
	pro:int|qui v|arriver-PRES&SUB&13s
%mor:	conj|et part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|lire-SUB&1s ?|celuilà ?
%mor:	neg|pas co|si n|fort&m ?|hector ?
%mor:	adv|comment pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|titre&m
	?
%mor:	det:art|le&m&sg n|titre&m prep|de&le n|livre ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s pro:dem|ce
	n|livre ?
%mor:	neg|pas n|si&m adj|fort&m ?
%mor:	?|hector
%mor:	adv|alors pro:sub|on v:aux|être&PRES&3s pro:int|où adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|où pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|qu'estce prep|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg ?
%mor:	co|oui=yes
