annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
929	22804	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	default	They are those there the sunflowers	929	emilie							ke tsane diphukhu	Sesotho	ke tsane di-phukhu	cp 10 10-sunflower(9,10)	ke tsane diphukhu	2678513	cop d pfx-n	80.8	82.753	80.8	82.753	Sesotho	MTG	sme	u39	NA	NA	NA	Speaker	16710	1	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
929	23033	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	question	Yes where is he ?	929	emilie							e o kae	Sesotho	e o kae	ij cp1 wh	e o kae	2678742	ij cop wh	482.5	483.678	482.5	483.678	Sesotho	MTG	sme	u268	NA	NA	NA	Speaker	16710	8	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
927	23102	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	default	Hey wom You are only pouring here	927	emilie							helang basadi utSela mona feela	Sesotho	helang basadi u-tSel-a mona feela	ij ij sm2s-t^p_pour-m^in loc av	helang basadi utSela mona feela	2678811	ij ij pfx-v-sfx loc av	637	642.094	637	642.094	Sesotho	MTG	sme	u337	NA	NA	NA	Speaker	16710	10	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Playmate	OCDS
929	23311	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	question	It is that thing that is coming to speak this one?	929	emilie							ke yona ntho etlilobua yona ee	Sesotho	ke yona ntho e-tlilo-bu-a yona ee	cp 9 thing(9,10) sr9-t^f2-speak-m^pt 9 9	ke yona ntho etlilobua yona ee	2679020	cop pn n pfx-pfx-v-sfx pn d	1150.64	1.153.222	1150.64	1.153.222	Sesotho	MTG	sme	u546	NA	NA	NA	Speaker	16710	19	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
929	23313	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	question	Now those things you will take them out when Tlalane ?	929	emilie							jwale dintho tsela utladintSa neneng Tlalane	Sesotho	jwale di-ntho tsela u-tla-di-ntS-a neneng Tlalane	av 10-thing 10 sm2s-t^f1-om10-take_out-m^in wh a_name	jwale dintho tsela utladintSa neneng Tlalane	2679022	av pfx-pfx d pfx-pfx-pfx-v-sfx wh ???	1.153.775	1.157.458	1.153.775	1.157.458	Sesotho	MTG	sme	u548	NA	NA	NA	Speaker	16710	19	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
929	23315	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	default	I am asking when you will take these things out	929	emilie							kere na utladintSa neneng dintho tsee	Sesotho	ke-r-e na u-tla-di-ntS-a neneng di-ntho tsee	sm1s-t^p_say-m^in q sm2s-t^f1-om10-take_out-m^in wh 10-thing(9,10) 10	kere na utladintSa neneng dintho tsee	2679024	pfx-v-sfx q pfx-pfx-pfx-v-sfx wh pfx-n d	1157.5	1.159.148	1157.5	1.159.148	Sesotho	MTG	sme	u550	NA	NA	NA	Speaker	16710	19	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
929	23316	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	default	Yes on top	929	emilie							e ka hodimo	Sesotho	e ka hodimo	cp9 pr loc	e ka hodimo	2679025	cop pr loc	1.159.148	1.160.754	1.159.148	1.160.754	Sesotho	MTG	sme	u551	NA	NA	NA	Speaker	16710	19	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
929	23318	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	question	Or can they not be taken out?	929	emilie							kapa ha dintSuwe	Sesotho	kapa ha di-ntS-uw-e	cj ng sm10-t^p_take_out-p-m^x	kapa ha dintSuwe	2679027	cj ng pfx-v-sfx-sfx	1160.8	1.162.302	1160.8	1.162.302	Sesotho	MTG	sme	u553	NA	NA	NA	Speaker	16710	19	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
927	23332	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	default	Pour it into the dish	927	emilie							etSele ka sekotlolong	Sesotho	e-tSel-e ka se-kotlolo-ng	om9-pour-m^i pr 7-dish(7,8)-lc	etSele ka sekotlolong	2679041	pfx-v-sfx pr pfx-n-sfx	1.210.777	1.212.794	1.210.777	1.212.794	Sesotho	MTG	sme	u567	NA	NA	NA	Speaker	16710	20	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Playmate	OCDS
929	23348	2459	16710	926	Manthabiseng	NA	NA	Adult	Adult	Adult	default	Sister Tlalane	929	emilie							ausi Tlalane	Sesotho	ausi Tlalane	sister(1a,2a) a_name	ausi Tlalane	2679057	n ???	1251.4	1.253.931	1251.4	1.253.931	Sesotho	MTG	sme	u583	NA	NA	NA	Speaker	16710	20	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	adult	Cousin	OCDS
