annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
962	62114	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	Move here you	1	clara							tloha mono wena	Sesotho	tloh-a mono wena	abandon-m^i loc 2s	tloha mono wena	2717823	v-sfx loc pn	NA	NA	NA	NA	Sesotho	MAR	sme	u2	NA	NA	NA	Mother	17143	NA	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62115	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	Move.	1	clara							tloha	Sesotho	tloh-a	abandon-m^i	tloha	2717824	v-sfx	NA	NA	NA	NA	Sesotho	MAR	sme	u3	NA	NA	NA	Mother	17143	NA	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62116	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	question	What do you do now ?	1	clara							uetsa jwang jwale	Sesotho	u-ets-a jwang jwale	sm2s-t^p_do-m^in wh av	uetsa jwang jwale	2717825	pfx-v-sfx wh av	NA	NA	NA	NA	Sesotho	MAR	sme	u4	NA	NA	NA	Mother	17143	NA	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62119	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	Be quiet man	1	clara							thola monna	Sesotho	thol-a mo-nna	become_silent-m^i 1-man(1,2)	thola monna	2717828	v-sfx pfx-n	NA	NA	NA	NA	Sesotho	MAR	sme	u7	NA	NA	NA	Mother	17143	NA	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62123	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	Women Tsebo do not put that stick you	1	clara							basadi Tsebo sekanna kenya thupa enono wena	Sesotho	basadi Tsebo sekanna ken-y-a thupa enono wena	ij a_name ng enter-c-m^i stick(9,10) 9 2s	basadi Tsebo sekanna kenya thupa enono wena	2717832	ij ??? ng v-sfx-sfx n d pn	55.79	63.315	55.79	63.315	Sesotho	MAR	sme	u11	NA	NA	NA	Mother	17143	0	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62124	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	You ruin this door	1	clara							usenya lemati lena	Sesotho	u-seny-a le-mati lena	sm2s-t^p_spoil-m^in 5-door(5,6) 5	usenya lemati lena	2717833	pfx-v-sfx pfx-n d	55.79	63.315	55.79	63.315	Sesotho	MAR	sme	u12	NA	NA	NA	Mother	17143	0	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62125	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	It is already like this	1	clara							leselentselele tjena	Sesotho	le-se-le-ntse-le-le tjena	sm5-t^se-sm5-t^pp-sm5-cp av	leselentselele tjena	2717834	pfx-pfx-pfx-pfx-pfx-pfx av	55.79	63.315	55.79	63.315	Sesotho	MAR	sme	u13	NA	NA	NA	Mother	17143	0	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62126	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	Take out this thing here	1	clara							ntSa ntho ena mona	Sesotho	ntS-a ntho ena mona	take_out-m^i thing(9,10) 9 loc	ntSa ntho ena mona	2717835	v-sfx n d loc	55.79	63.315	55.79	63.315	Sesotho	MAR	sme	u14	NA	NA	NA	Mother	17143	0	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62130	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	Put this stick outside over there	1	clara							beha thupa ena kantle ka kwana	Sesotho	beh-a thupa ena kantle ka kwana	put-m^i stick(9,10) 9 loc pr loc	beha thupa ena kantle ka kwana	2717839	v-sfx n d loc pr loc	NA	NA	NA	NA	Sesotho	MAR	sme	u18	NA	NA	NA	Mother	17143	NA	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
962	62142	2523	17143	959	Maria	NA	Female	Mother	Mother	Adult	default	You will hit the child and step over him	1	clara							letlaotla ngwana lebelemohate	Sesotho	le-tla-otl-a ngwana le-be-le-mo-hat-e	sm2p-t^f1-beat-m^in child(1irg) sm2p-t^be-sm2p-om1-step-m^pt	letlaotla ngwana lebelemohate	2717851	pfx-pfx-v-sfx n pfx-pfx-pfx-pfx-v-sfx	131.275	135.51	131.275	135.51	Sesotho	MAR	sme	u30	NA	NA	NA	Mother	17143	2	12c_95.14	040100cd.cha	Neuoe	Neuoe-040100cd.cha	mother	Brother	OCDS
