utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
14445	MOT	mother	ça va ?			 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14452	MOT	mother	bonjour mon titi .			 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14453	MOT	mother	tu vas bien ?			 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14463	MOT	mother	tiens Ael .			 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14464	MOT	mother	tu veux une gaufre ?			 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14527	MOT	mother	< ouais c'est les copains de la forêt .			 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14534	MOT	mother	hum .	%sit BRO dit quelque chose à l'oreille de MOT		%sit BRO dit quelque chose à l'oreille de MOT 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14658	MOT	mother	Ael va chercher le piano là-haut .			 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14690	MOT	mother	< attention ramasse ce-que t(u) as fait tomber .	add à BRO		add à BRO 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14693	MOT	mother	< non <laisse la> [/] laisse la faire .	add à BRO		add à BRO 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
14747	MOT	mother	Ael va t'habiller dans la salleà+manger .	%act MOT tend ses vêtements à BRO		%act MOT tend ses vêtements à BRO 	Anae/21122.cha	BRO	clara						Anae	mother	Other child
