%mor:	co|ah co|non=no part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s
	pro:dem|ça
%mor:	?|ana part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s
%mor:	part|taire-PP&m n|peu&m-PL neg|pas dé#v|couper-INF pro:dem|ça
%mor:	co|ouais=yes adv|mais dé#v|couper-PRES&SUB&13s
%mor:	v|rendre-IMP&2s pro|moi&sg
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg n|tien&m
%mor:	conj|et pro:sub|il re#v|marcher-PRES&SUB&13s
%mor:	conj|et adv:place|voilà
%mor:	adv:place|voilà
%mor:	v|attendre-IMP&2s ?|ana pro:sub|je v:mdl|aller&PRES&1s pro:obj|te
	v|chercher-INF det:art|une&f&sg det:art|une&f&sg adj|petit&f
	n|assiette&f adj|rouge
%mor:	part|taire-PP&m det:art|la&f&sg v|voir&IMP&PRES&12s ?|làbas ?
%mor:	co|oui=yes ?|cellelà
%mor:	part|taire-PP&m co|las n|mets&m adv:place|dedans det:poss|ta&f&sg
	n|tasse&f ?
%mor:	?|anais pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF
%mor:	v|tenir-IMP&2s ?|ana det:art|le&m&sg n|sachet&m
%mor:	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s det:art|un&m&sg
	n|thé&m ?
%mor:	?|barbie
%mor:	co|mince pro:sub|elle v:aux|être&PRES&3s conj|ou
	det:art|le$n|assiette&f ?
%mor:	adv|mais ?|c'etait neg|pas det:art|le&m&sg adj|mien&m
