annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
962	53487	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	Leave the child	1	clara							tlohela ngwana	Sesotho	tlohel-a ngwana	leave-m^i child(1irg)	tlohela ngwana	2709196	v-sfx n	5.271	7.515	5.271	7.515	Sesotho	MAR	sme	u1	NA	NA	NA	Mother	17044	0	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53489	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	Which ones ?	1	clara							tsee difeng	Sesotho	tsee di-feng	10 10-wh	tsee difeng	2709198	d pfx-pfx	12.2	14.083	12.2	14.083	Sesotho	MAR	sme	u3	NA	NA	NA	Mother	17044	0	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53491	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	Yes move away from him	1	clara							e tloha pela hae	Sesotho	e tloh-a pela hae	ij abandon-m^i loc 1	e tloha pela hae	2709200	ij v-sfx loc ???	18.694	21.815	18.694	21.815	Sesotho	MAR	sme	u5	NA	NA	NA	Mother	17044	0	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53492	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	Move	1	clara							tloha	Sesotho	tloh-a	abandon-m^i	tloha	2709201	v-sfx	21.815	23.481	21.815	23.481	Sesotho	MAR	sme	u6	NA	NA	NA	Mother	17044	0	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53508	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	It is not known that you have enough to eat?	1	clara							ha hotsejwe hore utswanetse hoja	Sesotho	ha ho-tsejw-e hore u-tswan-ets-e ho-j-a	ng sm17-t^p_know/p-m^x cm sm2s-t^p_be_alike-ap/t^pf-m^pt if-eat-m^pt	ha hotsejwe hore utswanetse hoja	2709217	ng pfx-v-sfx cm pfx-v-sfx-sfx pfx-v-sfx	64.713	69.988	64.713	69.988	Sesotho	MAR	sme	u22	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53509	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	It is not known ?	1	clara							ha hotsejwe	Sesotho	ha ho-tsejw-e	ng sm17-t^p_know/p-m^x	ha hotsejwe	2709218	ng pfx-v-sfx	69.5	71.726	69.5	71.726	Sesotho	MAR	sme	u23	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53510	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	I was asking	1	clara							kenekebotsa	Sesotho	ke-ne-ke-bots-a	sm1s-t^ne-sm1s-ask-m^pt	kenekebotsa	2709219	pfx-pfx-pfx-v-sfx	71.726	74.651	71.726	74.651	Sesotho	MAR	sme	u24	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53514	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	Who called you ?	1	clara							uneubitswe ke mang	Sesotho	u-ne-u-bits-w-e ke mang	sm2s-t^ne-sm2s-call-p-t^pf/m^pt cp wh	uneubitswe ke mang	2709223	pfx-pfx-pfx-v-sfx-sfx cop wh	87.07	90.366	87.07	90.366	Sesotho	MAR	sme	u28	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53515	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	Because I did not call you	1	clara							hoba nna ha nkabakaubitsa	Sesotho	hoba nna ha n-ka-ba-ka-u-bits-a	cj 1s ng sm1s-t^po-t^ba-sm1s-om2s-call-m^x	hoba nna ha nkabakaubitsa	2709224	cj pn ng pfx-pfx-pfx-pfx-pfx-v-sfx	90.1	93.785	90.1	93.785	Sesotho	MAR	sme	u29	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53516	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	Did I call you ?	1	clara							keilekaubitsa	Sesotho	ke-ile-ka-u-bits-a	sm1s-t^ps-sm1s-om2s-call-m^pt	keilekaubitsa	2709225	pfx-pfx-pfx-pfx-v-sfx	93.785	97.041	93.785	97.041	Sesotho	MAR	sme	u30	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53517	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	Did I call you me ?	1	clara							keilekaubitsa nna	Sesotho	ke-ile-ka-u-bits-a nna	sm1s-t^ps-sm1s-om2s-call-m^pt 1s	keilekaubitsa nna	2709226	pfx-pfx-pfx-pfx-v-sfx pn	97.041	101.472	97.041	101.472	Sesotho	MAR	sme	u31	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53519	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	Now	1	clara							jwale	Sesotho	jwale	av	jwale	2709228	av	103	105.041	103	105.041	Sesotho	MAR	sme	u33	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53521	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	question	You want to hold it ?	1	clara							lebatla hoetSwara na	Sesotho	le-batl-a ho-e-tSwar-a na	sm2p-t^p_want-m^in if-om9-grab-m^pt q	lebatla hoetSwara na	2709230	pfx-v-sfx pfx-pfx-v-sfx q	108.2	112.22	108.2	112.22	Sesotho	MAR	sme	u35	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53522	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	No you leave the child's blanket	1	clara							ee wena ake utlohele phate ya ngwana	Sesotho	ee wena ake u-tlohel-e phate ya ngwana	ij 2s ij sm2s-t^p_leave-m^s bedclothes(9,10) 9 child(1irg)	ee wena ake utlohele phate ya ngwana	2709231	ij pn ij pfx-v-sfx n ps n	112	118.385	112	118.385	Sesotho	MAR	sme	u36	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53523	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	Painful	1	clara							ichu	Sesotho	ichu	ij	ichu	2709232	ij	118.385	120.514	118.385	120.514	Sesotho	MAR	sme	u37	NA	NA	NA	Mother	17044	1	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53528	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	Hey	1	clara							helang	Sesotho	helang	ij	helang	2709237	ij	133	134.324	133	134.324	Sesotho	MAR	sme	u42	NA	NA	NA	Mother	17044	2	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
965	53530	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	You Hleso you will cry	965	clara							wena Hleso utlalla	Sesotho	wena Hleso u-tla-ll-a	2s a_name sm2s-t^f1-cry-m^in	wena Hleso utlalla	2709239	pn ??? pfx-pfx-v-sfx	137.5	140.306	137.5	140.306	Sesotho	MAR	sme	u44	NA	NA	NA	Mother	17044	2	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
962	53531	2508	17044	959	Maria	NA	Female	Mother	Mother	Adult	default	Tsebo you will cry	1	clara							Tsebo utlalla	Sesotho	Tsebo u-tla-ll-a	a_name sm2s-t^f1-cry-m^in	Tsebo utlalla	2709240	??? pfx-pfx-v-sfx	140.306	143.603	140.306	143.603	Sesotho	MAR	sme	u45	NA	NA	NA	Mother	17044	2	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	mother	Brother	OCDS
