%mor:	n|polochon&m
%mor:	pro:sub|on pro:y|en prep|à pro|tous&m&pl part|garder-PP&m
	det:art|les&pl n|chaussure&f-PL
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:int|lequel&m&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|requin&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|méchant&m=evil
%mor:	conj|et pro|une&f&sg
%mor:	prep|avec det:art|les&pl n|bébé&m-PL
%mor:	pro:sub|je$pro:y|en v:aux|avoir&PRES&1s prep|vu det:art|un&m&sg
%mor:	co|eh conj|et pro:dem|ce adv|que pro:obj|vous v:mdl|pouvoir&PRES&2p
	pro:obj|me$v|aider-INF prep|à v:mdl|faire-INF pro:ind|lui ?
%mor:	co|éh adv|mais v|donner-IMP&2s pro|moi&sg det:dem|cette&f&sg
	n|chaise&f
%mor:	adv|mais ?|ana part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas
	v:mdllex|faire-INF
%mor:	adv|parce prep|que adv|après part|taire-PP&m det:art|les&pl
	n|mets&m pro|tous&m&pl prep|à det:art|le$n|envers&m
%mor:	det:art|les&pl n|bord&m-PL pro:sub|on pro:obj|les v|mettre-PRES&3s
	adv:place|là
%mor:	adv|d'accord ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je pro:obj|te
	pro:obj|le$v|enlever-PRES&SUB&13s ?
%mor:	v|attendre-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|grave ?|ana
%mor:	part|taire-PP&m n|peu&m-PL pro:obj|me$pro:y|en v:mdl|faire-INF
	det:art|un&m&sg pro|autre&sg
%mor:	v:mdl|falloir&IMPF&3s pro:obj|le v:mdllex|faire-INF adv|comme
	pro:dem|ça
%mor:	adv|d'accord
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s pro:rel|que$prep|à pro:y|en
	v:mdllex|faire-INF
%mor:	?|celuilà pro:sub|je pro:obj|te det:art|le&m&sg
	dé#v:mdl|faire-PRES&12s adv|autrement
%mor:	v|attendre-IMP&2s ?|ana
%mor:	adv|parce prep|que det:art|la&f&sg n|poire&f pro:sub|il
	v:mdl|falloir&PRES&3s pro:obj|le$v|enlever-INF
%mor:	adv|d'accord ?
%mor:	adv|parce prep|que adv|autrement n|pouf&m pro:sub|on
	v:mdl|aller&PRES&3s pro:obj|le v|déchirer-INF adv|après
%mor:	adv|d'accord ?
%mor:	?|celuilà part|taire-PP&m det:art|le&m&sg v:mdl|faire-PRES&12s
	prep|pour prep|pour det:poss|ta&f&sg n|marraine&f ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|ah co|oui=yes
%mor:	?|ana
%mor:	conj|et adv:place|voilà
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|prendre-INF pro:ind|lui ?
%mor:	det:art|un&m&sg n|arbre&m
%mor:	prep|à pro|moi&sg
%mor:	pro:int|où ?
%mor:	adv:place|là ?
%mor:	prep|de det:art|le$pro|autre&sg n|côté&m ?|ana ?|peutêtre
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|mouton&m
%mor:	co|non=no prep|à pro|moi&sg
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m part|taire-PP&m
	det:art|le&m&sg n|mets&m adv|comme pro:dem|ça
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m adv|comme pro:dem|ça
	adv|d'accord ?
%mor:	prep|en n|barrière&f
%mor:	co|non=no
%mor:	pro:sub|on pro:obj|les v|mettre-PRES&3s
%mor:	pro:sub|on pro:sub|on pro:obj|le v|mettre-PRES&3s adv|comme
	pro:dem|ça adv|d'accord ?
%mor:	adv|d'accord ?|ana ?
%mor:	adv|d'accord
%mor:	co|allez n|mets&m ?|ana
%mor:	adv:place|voilà
%mor:	pro|moi&sg pro:sub|je$v:aux|avoir&PRES&1s n|canard&m=duck
%mor:	v|attendre-IMP&2s pro:sub|on v|mettre-PRES&3s prep|de&le adj|blanc
%mor:	prep|de pro:dem|ce n|côté&m
%mor:	adv|après pro:y|y v:aux|avoir&PRES&3s prep|de&le adj|blanc
%mor:	pro|moi&sg pro:sub|je$v:aux|avoir&PRES&1s prep|de&le adj|blanc
