annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	24530	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	default	Come here	1	emilie							tloo kwano	Sesotho	tloo kwano	come/m^i loc	tloo kwano	2680239	v loc	132.038	138.773	132.038	138.773	Sesotho	MMS	sme	u2	NA	NA	NA	Mother	16725	2	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24534	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	default	Yes	1	emilie							e	Sesotho	e	ij	e	2680243	ij	144.2	145.483	144.2	145.483	Sesotho	MMS	sme	u6	NA	NA	NA	Mother	16725	2	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24537	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	question	Mother?	1	emilie							mme	Sesotho	mme	mother(1a,2a)	mme	2680246	n	145	148.941	145	148.941	Sesotho	MMS	sme	u9	NA	NA	NA	Mother	16725	2	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24541	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	question	What are you doing ?	1	emilie							uetsa jwang	Sesotho	u-ets-a jwang	sm2s-t^p_do-m^in wh	uetsa jwang	2680250	pfx-v-sfx wh	155.209	161.298	155.209	161.298	Sesotho	MMS	sme	u13	NA	NA	NA	Mother	16725	2	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24544	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	question	What ?	1	emilie							e	Sesotho	e	wh	e	2680253	wh	164.24	173.824	164.24	173.824	Sesotho	MMS	sme	u16	NA	NA	NA	Mother	16725	2	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24545	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	default	No	1	emilie							ae	Sesotho	ae	ij	ae	2680254	ij	173.5	176.144	173.5	176.144	Sesotho	MMS	sme	u17	NA	NA	NA	Mother	16725	2	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24546	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	default	Come sit here	1	emilie							tloo dule mona	Sesotho	tloo dul-e mona	come/m^i sit-m^i loc	tloo dule mona	2680255	v v-sfx loc	176.144	178.822	176.144	178.822	Sesotho	MMS	sme	u18	NA	NA	NA	Mother	16725	2	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24548	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	default	Come	1	emilie							tloo	Sesotho	tloo	come/m^i	tloo	2680257	v	180.028	180.861	180.028	180.861	Sesotho	MMS	sme	u20	NA	NA	NA	Mother	16725	3	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24550	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	default	Yes	1	emilie							e	Sesotho	e	ij	e	2680259	ij	192.347	195.522	192.347	195.522	Sesotho	MMS	sme	u22	NA	NA	NA	Mother	16725	3	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24558	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	default	No	1	emilie							ae	Sesotho	ae	ij	ae	2680267	ij	203.583	208.682	203.583	208.682	Sesotho	MMS	sme	u30	NA	NA	NA	Mother	16725	3	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
1	24560	2461	16725	930	Masebina	NA	Female	Mother	Mother	Adult	question	What ?	1	emilie							e	Sesotho	e	wh	e	2680269	wh	210.4	211.443	210.4	211.443	Sesotho	MMS	sme	u32	NA	NA	NA	Mother	16725	3	2b_92.26	020100cd.cha	Litlhare	Litlhare-020100cd.cha	mother	Keychild	CDS
