utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
19288	FAT	father	tu as marché dessous?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19289	FAT	father	tu as marché dessous?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19291	FAT	father	ohlàlà				Anais/242a.cha	1	clara						Anais	adult	Keychild
19293	FAT	father	là aussi tu as marché dessous?			%act  Fat montre du doigt l'endroit du pied /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19295	FAT	father	et qu'estce que tu faisais?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19296	FAT	father	tu dormais?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19298	FAT	father	tu avais les pieds en l'air?			%act  Fat lève les deux mains pour mimer les pieds en l'air /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19299	FAT	father	comment tu as fais pour qu'elle te marche dessus?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19300	FAT	father	c'est canaille?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19302	FAT	father	tu étais comme ça?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19304	FAT	father	elle t'a marché sur les pieds?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19306	FAT	father	et tu t'es pas laissée faire?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19307	FAT	father	ah tu es sotte hein				Anais/242a.cha	1	clara						Anais	adult	Keychild
19309	FAT	father	va poser la tutu sur le rebord là				Anais/242a.cha	1	clara						Anais	adult	Keychild
19310	FAT	father	eh prends le sacà+dos là				Anais/242a.cha	1	clara						Anais	adult	Keychild
19311	FAT	father	prends ton sacà+dos là				Anais/242a.cha	1	clara						Anais	adult	Keychild
19314	FAT	father	allez va le chercher			%act  Ana se lève et va vers l'endroit désigné par Fat /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19327	FAT	father	mais j'en ai un aussi tiens tu vas voir			%sit  Ana va vers son père /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19330	FAT	father	attends				Anais/242a.cha	1	clara						Anais	adult	Keychild
19331	FAT	father	et ça ça faudra le poser là				Anais/242a.cha	1	clara						Anais	adult	Keychild
19334	FAT	father	dans ma poche?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19336	FAT	father	dans ta poche là?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19337	FAT	father	regardes tu as une poche			%act  fat touche la poche de la jupe d' Ana /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19340	FAT	father	là mets dans ta poche la tétine si tu veux			%act  Ana pose sa tétine dans sa poche 5413217713/Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19362	FAT	father	quoi qu'estce qu'il y a?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19363	FAT	father	ah oui moi j'en www ai un moi aussi				Anais/242a.cha	1	clara						Anais	adult	Keychild
19365	FAT	father	ouais				Anais/242a.cha	1	clara						Anais	adult	Keychild
19366	FAT	father	il est pas bien là				Anais/242a.cha	1	clara						Anais	adult	Keychild
19367	FAT	father	tu as raison				Anais/242a.cha	1	clara						Anais	adult	Keychild
19368	FAT	father	on va le mettre de l'autre côté			%act  Fat prend son micro /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19369	FAT	father	hop				Anais/242a.cha	1	clara						Anais	adult	Keychild
19370	FAT	father	sur l'épaule?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19371	FAT	father	dans le dos?			%act  Fat manipule le micro /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19373	FAT	father	oui				Anais/242a.cha	1	clara						Anais	adult	Keychild
19376	FAT	father	bah tu l'as rangée				Anais/242a.cha	1	clara						Anais	adult	Keychild
19378	FAT	father	si				Anais/242a.cha	1	clara						Anais	adult	Keychild
19380	FAT	father	si				Anais/242a.cha	1	clara						Anais	adult	Keychild
19382	FAT	father	si				Anais/242a.cha	1	clara						Anais	adult	Keychild
19384	FAT	father	si			%sit  Ana tourne sur elle même /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19386	FAT	father	oui				Anais/242a.cha	1	clara						Anais	adult	Keychild
19388	FAT	father	alors qu'estce que tu fais ce matin avec maman?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19389	FAT	father	dismoi				Anais/242a.cha	1	clara						Anais	adult	Keychild
19391	FAT	father	je sais tu as dansé				Anais/242a.cha	1	clara						Anais	adult	Keychild
19393	FAT	father	oui?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19394	FAT	father	où?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19396	FAT	father	comme ça?			%sit  Fat s'accroupit 155823158222/Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19398	FAT	father	avec les bras?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19405	FAT	father	avec la tête aussi				Anais/242a.cha	1	clara						Anais	adult	Keychild
19407	FAT	father	montre moi				Anais/242a.cha	1	clara						Anais	adult	Keychild
19410	FAT	father	comme ça				Anais/242a.cha	1	clara						Anais	adult	Keychild
19412	FAT	father	tête à droite tête à gauche			%act  Fat penche sa tête à droite puis à gauche /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19414	FAT	father	et en haut non			%act  Fat penche la tête en arrière /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19418	FAT	father	et tu as sauté aussi				Anais/242a.cha	1	clara						Anais	adult	Keychild
19420	FAT	father	dis donc tu parles pas beaucoup là				Anais/242a.cha	1	clara						Anais	adult	Keychild
19421	FAT	father	tu tu t'exprime mais c'est tout hein				Anais/242a.cha	1	clara						Anais	adult	Keychild
19423	FAT	father	quoi?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19426	FAT	father	elle est là la maison à toi?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19430	FAT	father	ah ton bijou à toi				Anais/242a.cha	1	clara						Anais	adult	Keychild
19434	FAT	father	et +/				Anais/242a.cha	1	clara						Anais	adult	Keychild
19435	FAT	father	et celui qui es à côté est www à qui?			%act  Fat montre du doigt /Anais/242a.cha	Anais/242a.cha	1	clara						Anais	adult	Keychild
19437	FAT	father	ah ben tu vois				Anais/242a.cha	1	clara						Anais	adult	Keychild
19439	FAT	father	et tu les www a mis dans la voiture				Anais/242a.cha	1	clara						Anais	adult	Keychild
19441	FAT	father	tu es sûre que c'est le tien?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19445	FAT	father	c'est le tien celuilà?				Anais/242a.cha	1	clara						Anais	adult	Keychild
19447	FAT	father	mh mh				Anais/242a.cha	1	clara						Anais	adult	Keychild
19451	FAT	father	qu'estce qui est écrit?				Anais/242a.cha	1	clara						Anais	adult	Keychild
