NAME,ROME,UTTERANCE,COMMENT,DIRECTED,,
"Participants: CHI Benjamin Target_Child, MOT Mother, FAT Father, NIC Nicola Sister, SUZ Suzanne Family_Friend, VIS Visitor ",,,,,,
"Comment: There is a ""roaring"" sound throughout this recording which makes it very difficult to hear what people are saying at times. The recording times are inaccurate; the recordings start at about 12.50 p.m.",,,,,,
Location: Living room,,,,,,
Activities: Free play alone/Snack,,,,,,
NIC,Nicola  Sister,0 [=! singing] .,,,,
CHI,Benjamin Target_Child,0 .,%com: this is a short sample,,,
Location: Living room,,,,,,
Activities: Free play with another child,,,,,,
Situation: The children have paper and string and are pretending to have birthdays,,,,,,
NIC,Nicola  Sister,you're nearly five .,,CHI,,
CHI,Benjamin Target_Child,you're five (3.) .,,NIC,,
NIC,Nicola  Sister,just going in [/] (1.) in my kitchen (3.) .,,?,,
NIC,Nicola  Sister,0 [=! whimpers] .,,?,,
CHI,Benjamin Target_Child,I'm going to do a wee (3.) .,,?,,
CHI,Benjamin Target_Child,I'm desperate (2.) .,,?,,
MOT,Mother,you're desperate ?,,CHI,,
MOT,Mother,xxx (3.) .,,NA,,
CHI,Benjamin Target_Child,<I got> [//] I [//] (2.) I've got a birthday [= parcel] (3.) .,,MOT,,
CHI,Benjamin Target_Child,yes .,,MOT,,
CHI,Benjamin Target_Child,I have .,,MOT,,
CHI,Benjamin Target_Child,see .,,MOT,,
CHI,Benjamin Target_Child,see that birthday [= parcel] (1.) .,,MOT,,
CHI,Benjamin Target_Child,see that birthday .,,MOT,,
CHI,Benjamin Target_Child,see that birthday .,,MOT,,
CHI,Benjamin Target_Child,see that birthday Mummy (2.) .,,MOT,,
CHI,Benjamin Target_Child,see that birthday (2.) .,,MOT,,
NIC,Nicola  Sister,you cant see it yet .,,CHI,,
NIC,Nicola  Sister,I'm baking you a birthday cake .,,CHI,,
NIC,Nicola  Sister,because its on your Christmas tree (3.) .,%com: nicola gets birthdays and Christmas mixed up . They have a small tree to play with,CHI,,
CHI,Benjamin Target_Child,it doesn't xxx (5.) .,,NIC,,
NIC,Nicola  Sister,0 [=! sings] (7.) .,,?,,
NIC,Nicola  Sister,0 [=! singing Happy Birthday] .,,?,,
NIC,Nicola  Sister,xxx (5.) ?,,?,,
NIC,Nicola  Sister,a little gun ?,,?,,
NIC,Nicola  Sister,huh ?,,?,,
