%mor:	co|mh
%mor:	prep|à&le n|galop&m prep|à&le n|galop&m
%mor:	co|oh adv:place|là
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m det:poss|sa&f&sg
	n|couronne&f adv|tellement pro:sub|il v:mdl|aller&IMPF&3s adv|vite
%mor:	co|ah co|bah co|oui=yes co|hein
%mor:	co|si pro:sub|elle v|prendre-PRES&3s n|don&m n|bain&m
	v:mdl|falloir&PRES&3s v|enlever-INF det:art|la&f&sg n|robe&f
%mor:	co|mhm
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|en n|haut&m det:art|la&f&sg
	n|mallette&f prep|de ?
%mor:	co|oui=yes
%mor:	det:art|la&f&sg n|mallette&f prep|pour v|laver-INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|dans det:poss|votre&sg
	n|chambre&f ?
%mor:	pro:y|en v:aux|avoir&PRES&3s det:art|une&f&sg n|culotte&f
%mor:	co|mh
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s part|luire&PP&m
	v|enlever-INF det:poss|sa&f&sg n|culotte&f adv|aussi
%mor:	co|ah co|bon
%mor:	n|tout&m n|nu&m ?
%mor:	n|tout&m n|nu&m
%mor:	pro:sub|elle v:mdl|aller&PRES&3s v:mdl|faire-INF n|pipi&m=peepee ?
%mor:	co|ah
%mor:	conj|et pro:sub|il v:aux|être&PRES&3s pro:int|où det:poss|son&m&sg
	n|pot&m=pot ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:int|où pro:sub|il
	v:aux|être&PRES&3s pro|toi&sg ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:sub|il v:aux|être&PRES&3s neg|pas
	adv:place|là
%mor:	part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s neg|pas ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:poss|ton&m&sg
	n|bébé&m pro:dem|ça
%mor:	part|taire-PP&m prep|que pro:sub|je pro:obj|te$v|aider-PRES&SUB&13s
	prep|pour v|enlever-INF det:art|la&f&sg n|culotte&f ?
%mor:	prep|à det:poss|mon&m&sg n|avis&m pro:sub|il v:aux|être&PRES&3s
	prep|dans det:poss|ta&f&sg n|chambre&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-PRES&SUB&13s v|voir&INF ?
%mor:	co|oui=yes
%mor:	pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s part|parler-PP&m ?|ana
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s adv|que
	pro:sub|je$v|ailler-IMP&2s v|voir&INF adv|si
	pro:dem|ce$v:aux|être&PRES&3s prep|dans co|ta n|chambre&f ?
%mor:	co|oui=yes ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg
	n|casque&m
%mor:	co|aïe
%mor:	co|oh co|oui=yes pro:obj|vous det:art|les&pl v:aux|avoir&PRES&2p
	adv|tout part|casser-PP&m
%mor:	pro:sub|il v:aux|être&PRES&3s part|réparer-PP&m ?
%mor:	v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|il pro:y|y
	v:poss|avoir&PRES&SUB&3s det:art|la&f&sg n|roue&f
%mor:	pro:int|où pro:refl|se$pro:y|en v:mdl|aller&PRES&3s det:art|la&f&sg
	n|roue&f
%mor:	co|ouais=yes
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas part|trouver-PP&m
	det:art|le&m&sg n|pot&m=pot prep|de det:poss|ta&f&sg n|poupée&f
	fam|mounette
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:dem|ce$v:exist|être&PRES&3s
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où pro:sub|il
	v:aux|être&PRES&3s
%mor:	co|oh pro:y|y pro:y|en v:aux|avoir&PRES&3s ?|làbas
	adv:place|dessous
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s pro:dem|ce$v:aux|être&PRES&3s
	part|réparer-PP&m ?
%mor:	co|ah co|oui=yes pro:sub|il n|manque&m det:art|la&f&sg n|selle&f
%mor:	v|regarder-PRES&SUB&13s prep|dans det:art|le&m&sg n|panier&m
	?|làbas
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|trouver-PP&m ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:dem|ce$v:exist|être&PRES&3s
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	co|ah co|bah part|taire-PP&m pro:sub|il$v:aux|avoir&PRES&2s
	part|trouver-PP&m det:art|la&f&sg n|selle&f
%mor:	conj|et co|oui=yes
%mor:	det:art|le$pro|autre&sg adv|aussi
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg n|roue&f
