utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee
4015	BR1	Brother1	< xxx .			 	Anae/2428.cha	FAT	clara				Anae	other child	Adult
4019	BR1	Brother1	< xxx .	add à FAT		add à FAT 	Anae/2428.cha	FAT	clara				Anae	other child	Adult
4197	BRO	Brother	non .			 	Anae/2428.cha	FAT	clara				Anae	other child	Adult
4200	BRO	Brother	< <je veux pas> [/] (.) je veux pas y aller .			 	Anae/2428.cha	FAT	clara				Anae	other child	Adult
9569	BRO	Brother	< à mon école il y a tout ça .			 	Anae/284.cha	A	clara				Anae	other child	Adult
9570	BRO	Brother	ya [/] il y a tout ce-que vous a(vez) [//] lui avez dit .			 	Anae/284.cha	A	clara				Anae	other child	Adult
12997	BRO	Brother	Zoum .			 	Anae/2123.cha	FRI	clara	FRI	Lara		Anae	other child	Adult
14929	COU	Anouk Cousin Relative	rose !			 	Anae/317.cha	A	clara				Anae	other child	Adult
14930	BR1	Brother1	l'autre jour elle disait xxx .			 	Anae/317.cha	A	clara				Anae	other child	Adult
15328	COU	Anouk Cousin Relative	< coucou .			 	Anae/317.cha	A	clara				Anae	other child	Adult
15362	BR1	Brother1	c'est un truc que je leur ai donné aussi .			 	Anae/317.cha	A	clara				Anae	other child	Adult
16077	BR1	Brother1	moi j'ai fini .			 	Anae/317.cha	FAT	clara		Lara		Anae	other child	Adult
16081	BR1	Brother1	< sauf qu'il reste deux cadres et un truc mais je sais pas comment on les accroche .			 	Anae/317.cha	FAT	clara		Lara		Anae	other child	Adult
16083	BR1	Brother1	et il faut réparer le truc de l'ordinateur aussi .			 	Anae/317.cha	FAT	clara		Lara		Anae	other child	Adult
16293	COU	Anouk Cousin Relative	regarde maman des crocodiles .			 	Anae/317.cha	AUN	clara		Lara		Anae	other child	Adult
