annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	14973	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	Who will fetch it ?	1	emilie							etlalatuwa ke mang	Sesotho	e-tla-lat-uw-a ke mang	sm9-t^f1-fetch-p-m^in cp wh	etlalatuwa ke mang	2670682	pfx-pfx-v-sfx-sfx cop wh	131.1	132.736	131.1	132.736	Sesotho	MHL	sme	u21	NA	NA	NA	Mother	16587	2	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	14976	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	Is it me ?	1	emilie							ke nna	Sesotho	ke nna	cp 1s	ke nna	2670685	cop pn	135.5	136.745	135.5	136.745	Sesotho	MHL	sme	u24	NA	NA	NA	Mother	16587	2	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	14987	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	With fuel	1	emilie							ka dikhotetso	Sesotho	ka di-khotetso	pr 10-kindling(9,10)	ka dikhotetso	2670696	pr pfx-n	189.3	193.346	189.3	193.346	Sesotho	MHL	sme	u35	NA	NA	NA	Mother	16587	3	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	14993	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	She says you will pay what and what ?	1	emilie							ore utlapheha eng le eng	Sesotho	o-r-e u-tla-pheh-a eng le eng	sm1-t^p_say-m^in sm2s-t^f1-cook-m^pt wh cj wh	ore utlapheha eng le eng	2670702	pfx-v-sfx pfx-pfx-v-sfx wh cj wh	211.588	217.611	211.588	217.611	Sesotho	MHL	sme	u41	NA	NA	NA	Mother	16587	3	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	14995	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	Pea and corn ?	1	emilie							erekisi le poone	Sesotho	erekisi le poone	pea(9,10) cj corn(9,10)	erekisi le poone	2670704	n cj n	222.2	224.542	222.2	224.542	Sesotho	MHL	sme	u43	NA	NA	NA	Mother	16587	3	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	14999	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Peas and corn	1	emilie							erekisi le poone	Sesotho	erekisi le poone	pea(9,10) cj corn(9,10)	erekisi le poone	2670708	n cj n	232.255	236.813	232.255	236.813	Sesotho	MHL	sme	u47	NA	NA	NA	Mother	16587	3	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	15075	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Hlobohang look	1	emilie							Hlobohang sheba	Sesotho	Hlobohang sheb-a	a_name look-m^i	Hlobohang sheba	2670784	??? v-sfx	698.7	703.034	698.7	703.034	Sesotho	MHL	sme	u123	NA	NA	NA	Mother	16587	11	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	15076	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Come look at this thing	1	emilie							tloo bona ntho ena	Sesotho	tloo bon-a ntho ena	come/m^i see-m^i thing(9,10) 9	tloo bona ntho ena	2670785	v v-sfx n d	703.034	704.835	703.034	704.835	Sesotho	MHL	sme	u124	NA	NA	NA	Mother	16587	11	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	15078	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	Why do you kill it ?	1	emilie							usebolayelang	Sesotho	u-se-bolay-el-a-ng	sm2s-t^p.om7-kill-ap-m^in-wh	usebolayelang	2670787	pfx-pfx-v-sfx-sfx-sfx	705.825	713.682	705.825	713.682	Sesotho	MHL	sme	u126	NA	NA	NA	Mother	16587	11	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
1	15079	2440	16587	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	What is it ?	1	emilie							ke eng	Sesotho	ke eng	cp wh	ke eng	2670788	cop wh	713.682	716.224	713.682	716.224	Sesotho	MHL	sme	u127	NA	NA	NA	Mother	16587	11	14_95.14	020700ab.cha	Hlobohang	Hlobohang-020700ab.cha	mother	Keychild	CDS
