utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11714	FAT	father	bonjour .			 	Anae/2123.cha	1	clara				Anae	adult	Keychild	CDS
11718	FAT	father	[=! siffle] oh que tu es belle .			 	Anae/2123.cha	1	clara				Anae	adult	Keychild	CDS
11722	FAT	father	viens me faire un bisou Anaé [/] Anaé .			 	Anae/2123.cha	1	clara				Anae	adult	Keychild	CDS
11724	FAT	father	raté .			 	Anae/2123.cha	1	clara				Anae	adult	Keychild	CDS
11725	FAT	father	la bise ?			 	Anae/2123.cha	1	clara				Anae	adult	Keychild	CDS
11836	FRI	Zoom Friend	coucou .			 	Anae/2123.cha	1	clara				Anae	adult	Keychild	CDS
11841	FRI	Zoom Friend	tu me fais un gâteau ?			 	Anae/2123.cha	1	clara				Anae	adult	Keychild	CDS
16088	FAT	father	tu poses sur la table .			 	Anae/317.cha	1	clara		Lara		Anae	adult	Keychild	CDS
16090	FAT	father	t(u) as fini toi ?			 	Anae/317.cha	1	clara		Lara		Anae	adult	Keychild	CDS
16091	FAT	father	ah non c'est pour faire comme ta cousine que t'en veux plus .			 	Anae/317.cha	1	clara		Lara		Anae	adult	Keychild	CDS
16356	FAT	father	parce qu'il va piquer les gâteaux lui .	%sit CHI regarde FAT		%sit CHI regarde FAT 	Anae/317.cha	1	clara		Lara		Anae	adult	Keychild	CDS
