annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
962	67128	2535	17242	968	Semakaleng	NA	NA	Adult	Adult	Adult	default	There are no nuts	1	clara							makotomane ha a yo	Sesotho	ma-kotomane ha a yo	6-peanut(5 6) ng cp6 loc	makotomane ha a yo	2722837	pfx-n ng cop loc	45.71	47.66	45.71	47.66	Sesotho	SEM	sme	u10	NA	NA	NA		NA	0	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67130	2535	17246	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	It is said there are no nuts	1	clara							hothwe makotomane ha a yo	Sesotho	ho-th-w-e ma-kotomane ha a yo	sm17-t^p_say-p-m^in 6-peanut(5 6) ng cp6 loc	hothwe makotomane ha a yo	2722839	pfx-v-sfx-sfx pfx-n ng cop loc	48.81	50.995	48.81	50.995	Sesotho	ADL	sme	u12	NA	NA	NA		NA	0	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67357	2535	17246	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Us too	1	clara							le rona	Sesotho	le rona	cj 1p	le rona	2723066	cj pn	1.402.303	1.404.151	1.402.303	1.404.151	Sesotho	ADL	sme	u239	NA	NA	NA		NA	23	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67531	2535	17246	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Tell mother Mamello to give us this thing	1	clara							ere mme Mamello arefe ntho ena	Sesotho	er-e mme Mamello a-re-f-e ntho ena	say-m^i mother(1a 2a) a_name sm1-t^p.om1p-give-m^s thing(9 10) 9	ere mme Mamello arefe ntho ena	2723240	v-sfx n ??? pfx-pfx-v-sfx n d	NA	NA	NA	NA	Sesotho	ADL	sme	u413	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
967	67747	2536	17253	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Are you cold ?	967	clara							uhatsetse	Sesotho	u-hatsets-e	sm2s-be_cold/t^pf-m^in	uhatsetse	2723456	pfx-v-sfx	NA	NA	NA	NA	Sesotho	JUL	sme	u53	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Playmate	OCDS
965	67757	2536	17253	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	You will accompany her	965	clara							retlamofelehetsa	Sesotho	re-tla-mo-felehets-a	sm1p-t^f1-om1-accompany-m^in	retlamofelehetsa	2723466	pfx-pfx-pfx-v-sfx	NA	NA	NA	NA	Sesotho	JUL	sme	u63	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
965	67758	2536	17253	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	The moon is there	965	clara							khwedi e teng ele	Sesotho	khwedi e teng e-le	moon(9 10) cp9 loc sm9-cp	khwedi e teng ele	2723467	n cop loc pfx-pfx	NA	NA	NA	NA	Sesotho	JUL	sme	u64	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
965	67759	2536	17253	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Not so the car will come and pick her	965	clara							hakere koloi etlatla homonka	Sesotho	hakere koloi e-tla-tl-a ho-mo-nk-a	q car(9 10) sm9-t^f1-come-m^in if-om1-take-m^pt	hakere koloi etlatla homonka	2723468	q n pfx-pfx-v-sfx pfx-pfx-v-sfx	NA	NA	NA	NA	Sesotho	JUL	sme	u65	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67967	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Get off the child Tsebo	1	clara							hatoha ngwana Tsebo	Sesotho	hat-oh-a ngwana Tsebo	step-rv-m^i child(1irg) a_name	hatoha ngwana Tsebo	2723676	v-sfx-sfx n ???	NA	NA	NA	NA	Sesotho	ADL	sme	u273	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67969	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	trail off	Tsebo I see that she is	1	clara							Tsebo kebona antsea	Sesotho	Tsebo ke-bon-a a-ntse-a	a_name sm1s-t^p_see-m^in sm1-t^pp-sm1	Tsebo kebona antsea	2723678	??? pfx-v-sfx pfx-pfx-pfx	NA	NA	NA	NA	Sesotho	ADL	sme	u275	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67971	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	question	Where are they ?	1	clara							a kae	Sesotho	a kae	cp6 wh	a kae	2723680	cop wh	NA	NA	NA	NA	Sesotho	ADL	sme	u277	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67973	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	question	Where did she go during the day ?	1	clara							oneaile kae motsehare	Sesotho	o-ne-a-il-e kae motsehare	sm1-t^ne-sm1-go/t^pf-m^pt wh av	oneaile kae motsehare	2723682	pfx-pfx-pfx-v-sfx wh av	NA	NA	NA	NA	Sesotho	ADL	sme	u279	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67977	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	question	Sister Mantsho where is she ?	1	clara							ausi Mantso o kae	Sesotho	ausi Mantso o kae	sister(1a 2a) a_name cp1 wh	ausi Mantso o kae	2723686	n ??? cop wh	NA	NA	NA	NA	Sesotho	ADL	sme	u283	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67988	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Tsebo	1	clara							Tsebo	Sesotho	Tsebo	a_name	Tsebo	2723697	???	NA	NA	NA	NA	Sesotho	ADL	sme	u294	NA	NA	NA		NA	NA	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67993	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Sit down Tsebo	1	clara							ako duleng fatse Tsebo	Sesotho	ako dul-eng fatse Tsebo	ij sit-m^ip loc a_name	ako duleng fatse Tsebo	2723702	ij v-sfx loc ???	4.569.165	4.573.265	4.569.165	4.573.265	Sesotho	ADL	sme	u299	NA	NA	NA		NA	76	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	67996	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Tsebo give to the child	1	clara							Tsebo neha ngwana	Sesotho	Tsebo neh-a ngwana	a_name give-m^i child(1irg)	Tsebo neha ngwana	2723705	??? v-sfx n	4.599.208	4600.78	4.599.208	4600.78	Sesotho	ADL	sme	u302	NA	NA	NA		NA	76	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	68018	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Hei Tsebo yes sit well	1	clara							hei Tsebo e dulang hantle	Sesotho	hei Tsebo e dul-ang hantle	ij a_name ij sit-m^ip av	hei Tsebo e dulang hantle	2723727	ij ??? ij v-sfx av	4.811.823	4.820.975	4.811.823	4.820.975	Sesotho	ADL	sme	u324	NA	NA	NA		NA	80	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	68047	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Mother Mamello is leaving	1	clara							mme Mamello oatsamaya	Sesotho	mme Mamello o-a-tsamay-a	mother(1a 2a) a_name sm1-t^p-leave-m^in	mme Mamello oatsamaya	2723756	n ??? pfx-pfx-v-sfx	5.006.768	5008.93	5.006.768	5008.93	Sesotho	ADL	sme	u353	NA	NA	NA		NA	83	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	68066	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	default	Neuoe Tsebo will hit you	1	clara							Neuoe Tsebo otlauotla	Sesotho	Neuoe Tsebo o-tla-u-otl-a	a_name a_name sm1-t^f1-om2s-beat-m^in	Neuoe Tsebo otlauotla	2723775	??? ??? pfx-pfx-pfx-v-sfx	5125.21	5.130.855	5125.21	5.130.855	Sesotho	ADL	sme	u372	NA	NA	NA		NA	85	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
962	68087	2536	17260	983	Unidentified_adult	NA	NA	Adult	Adult	Adult	question	Who dishes for you every day	1	clara							ungwathelwa ke mang mehla ee	Sesotho	u-ngwath-el-w-a ke mang me-hla ee	sm2s-feed-t^pf-p-m^in cp wh 4-day(3 4) 4	ungwathelwa ke mang mehla ee	2723796	pfx-v-sfx-sfx-sfx cop wh pfx-n d	5348.39	5.350.395	5348.39	5.350.395	Sesotho	ADL	sme	u393	NA	NA	NA		NA	89	17c_96.09	040500cd.cha	Neuoe	Neuoe-040500cd.cha	adult	Brother	OCDS
