utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
14798	COU	Anouk Cousin Relative	Anaé xxx encore renverser la tartine du déjeuner .	%act COU ramasse des objets par terre		%act COU ramasse des objets par terre 	Anae/317.cha	1	clara						Anae	child	Keychild
14811	COU	Anouk Cousin Relative	moi Anaé je dois payer tu viens avec moi ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
14813	COU	Anouk Cousin Relative	allez .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14828	COU	Anouk Cousin Relative	Anaé xxx .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14830	COU	Anouk Cousin Relative	alors avec du celui-là .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14838	COU	Anouk Cousin Relative	< xxx mange .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14839	COU	Anouk Cousin Relative	allez .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14855	COU	Anouk Cousin Relative	alors moi je veux le gros gâteau .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14894	COU	Anouk Cousin Relative	xxx où il est les ciseaux Anaé ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
14896	COU	Anouk Cousin Relative	xxx .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14916	COU	Anouk Cousin Relative	montre moi .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14924	COU	Anouk Cousin Relative	< yyy voir .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14926	COU	Anouk Cousin Relative	< <fais voir> [/] fais voir .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14955	COU	Anouk Cousin Relative	< yyy .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14956	COU	Anouk Cousin Relative	tu viens voir ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
14957	COU	Anouk Cousin Relative	‹non [/]› non <‹il y a› pas> [//] ‹il y a› du café et de l'eau xxx .	%sit BR1 regarde ce que fait COU		%sit BR1 regarde ce que fait COU 	Anae/317.cha	1	clara						Anae	child	Keychild
14976	COU	Anouk Cousin Relative	pch@o à euh à toi tu fais ça .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14977	COU	Anouk Cousin Relative	a@p prends la cafetière .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14978	COU	Anouk Cousin Relative	c'est bon c'est pour maman ça et ça c'est pour moi .			 	Anae/317.cha	1	clara						Anae	child	Keychild
14981	COU	Anouk Cousin Relative	< et ça c'est pour toi .	%act COU tend une tasse à CHI		%act COU tend une tasse à CHI 	Anae/317.cha	1	clara						Anae	child	Keychild
15012	COU	Anouk Cousin Relative	on va faire du piquenique Anaé .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15026	COU	Anouk Cousin Relative	on va faire un piquenique Anaé ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
15029	COU	Anouk Cousin Relative	‹et [/]› et puis <on va dormir> [/] on va dormir au piquenique hein .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15032	COU	Anouk Cousin Relative	allez <on va manger au au petit déjeuner> [//] au petit déjeuner on va manger quoi ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
15035	COU	Anouk Cousin Relative	‹An(aé) [/]› Anaé <on va> [/] on va manger des petits pois au déjeuner .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15055	COU	Anouk Cousin Relative	et Anaé .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15056	COU	Anouk Cousin Relative	Anaé toi t(u) es à la cantine .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15061	COU	Anouk Cousin Relative	où elle est la carte ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
15063	COU	Anouk Cousin Relative	Anaé où elle est la carte ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
15064	COU	Anouk Cousin Relative	oh c'est quoi ça ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
15066	COU	Anouk Cousin Relative	ah mais non regardez .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15067	COU	Anouk Cousin Relative	et ça c'est quoi ?			 	Anae/317.cha	1	clara						Anae	child	Keychild
15069	COU	Anouk Cousin Relative	< hé non .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15072	COU	Anouk Cousin Relative	ai fait du café .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15073	COU	Anouk Cousin Relative	on va mettre .	%act COU pose un tissu sur le sol		%act COU pose un tissu sur le sol 	Anae/317.cha	1	clara						Anae	child	Keychild
15101	COU	Anouk Cousin Relative	ah c'est ‹le [/]› le xxx de bébé .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15157	BR1	Brother1	ben trempe pas le truc dedans (.) trempe pas ça dedans .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15165	BR1	Brother1	Anaé montre à Aliyah comment tu fais du cerceau .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15171	BR1	Brother1	celui-là .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15210	COU	Anouk Cousin Relative	donne moi .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15213	COU	Anouk Cousin Relative	doucement .			 	Anae/317.cha	1	clara						Anae	child	Keychild
15214	COU	Anouk Cousin Relative	oh d'accord zə@p vais faire .	%act COU s'éloigne		%act COU s'éloigne 	Anae/317.cha	1	clara						Anae	child	Keychild
